#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      270.9   110.5    93.8   152.3   166.2   254.7   303.1   327.9   345.0   366.1   392.0   431.0   526.3   898.1  3284.1  29995.2    30000  1775574346522  1775574356674
read      279.8   125.4    93.8   153.4   167.9   261.2   312.4   339.7   359.3   381.6   409.2   453.2   559.2  1357.3  4276.8  29918.7    30005  1775574358192  1775574368339
read      282.8   136.8    93.8   154.0   168.5   264.5   316.4   343.3   363.2   385.9   413.6   455.7   556.5  1580.7  4857.3  30159.4    30010  1775574369854  1775574379977
read      250.5   119.0    86.8   137.0   148.7   229.7   278.0   305.9   324.8   346.4   374.1   416.7   512.0  1328.1  3823.6  30045.0    30015  1775574381503  1775574391613
read      252.6   113.5    93.8   140.9   152.9   231.9   282.0   309.7   328.6   349.8   376.5   416.9   500.1   946.1  3705.4  29924.8    30020  1775574393128  1775574403229
read      255.8   124.2    93.8   141.4   153.6   234.8   284.8   311.8   330.5   352.1   379.4   421.7   522.3   984.7  4265.0  30031.4    30025  1775574404744  1775574414845
read      262.2   115.5    93.8   147.6   160.9   244.3   291.6   316.8   334.7   355.2   381.5   422.7   517.9  1178.7  4068.9  30099.4    30030  1775574416359  1775574426462
read      256.7   107.8    93.8   146.5   159.2   238.3   286.5   311.8   329.0   348.2   373.0   411.4   497.1   925.8  3275.9  29985.0    30035  1775574427976  1775574438079
read      250.1   111.2    86.8   142.1   154.2   232.1   278.4   303.5   319.9   339.6   364.3   401.5   496.0   866.9  3894.1  30120.9    30040  1775574439592  1775574449708
read      262.9   118.5    86.8   145.7   159.8   248.4   294.9   319.4   336.7   356.4   381.3   420.9   507.3   728.9  3610.4  30000.8    30045  1775574451224  1775574461328
read      252.2   112.3    86.8   140.6   153.7   237.4   283.4   307.3   323.1   342.0   366.4   402.4   484.9   706.8  3234.7  29970.1    30050  1775574462844  1775574472943
read      265.9   115.3    86.8   147.9   161.4   249.7   297.6   322.4   340.3   361.2   387.1   426.5   520.3  1050.1  3942.7  29990.8    30055  1775574474458  1775574484568
read      270.0   116.3    93.8   150.0   163.7   255.2   305.0   329.6   345.9   365.9   390.3   426.9   508.0   805.9  3918.4  30047.9    30060  1775574486083  1775574496184
read      250.9   108.1    86.8   142.4   154.8   233.3   280.4   305.7   322.0   341.4   366.1   402.9   480.9   789.5  3806.3  30037.8    30065  1775574497698  1775574507804
read      267.1   109.2    86.8   148.2   162.2   252.6   301.7   326.0   342.3   362.2   386.7   423.6   508.8   882.0  3520.1  30160.2    30070  1775574509317  1775574519417
read      260.9   102.7    86.8   147.0   160.7   244.9   292.4   317.2   334.6   354.4   379.6   418.9   503.6   718.5  2971.8  29946.3    30075  1775574520930  1775574531036
read      260.8   111.4    86.8   144.8   158.4   244.9   293.8   318.7   336.1   356.0   380.7   419.1   501.6   741.5  3083.3  30085.8    30080  1775574532550  1775574542653
read      267.6   106.1    86.8   146.7   161.0   253.8   303.8   328.6   344.9   365.0   389.6   426.7   507.7   731.4  3128.9  30061.2    30085  1775574544166  1775574554266
read      257.4   110.8    80.4   142.0   155.2   240.7   290.1   315.4   332.7   352.0   376.4   415.9   503.0   771.6  3316.8  30036.6    30090  1775574555779  1775574565882
read      259.3   487.2    86.8   142.9   155.8   239.1   287.2   311.8   328.4   346.6   371.3   408.4   492.4   872.0  4918.2  30109.8    30095  1775574567395  1775574577495
read      259.3   128.6    86.8   141.7   154.9   241.4   290.6   315.8   333.0   352.3   376.8   417.0   508.5  1618.6  4687.7  30047.6    30100  1775574579008  1775574589113
read      269.1   106.8    86.8   149.2   163.1   254.3   303.1   328.2   345.1   366.1   392.2   431.2   516.6   724.3  3182.0  30097.0    30105  1775574590626  1775574600729
read      263.8   115.4    86.8   148.9   162.4   248.1   294.9   318.9   335.9   355.5   380.1   418.3   502.2  1093.2  3730.2  29996.9    30110  1775574602246  1775574612373
read      266.7   108.1    86.8   149.6   163.0   252.1   301.6   326.2   343.0   362.6   386.6   422.8   500.4   704.5  3428.6  30200.8    30115  1775574613886  1775574623987
