#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      237.3   110.9    86.8   138.9   151.9   222.4   256.9   277.5   293.2   312.0   336.4   373.6   463.9  1006.5  4258.1  29977.6    30000  1775296381591  1775296391735
read      226.9   115.1    80.4   133.0   145.4   212.9   246.1   266.1   280.6   297.8   320.3   357.0   436.4   981.3  4306.9  29994.8    30005  1775296393247  1775296403369
read      226.5    93.9    86.8   133.0   145.2   212.4   246.5   267.0   281.9   299.6   322.7   360.4   441.5   679.5  3365.1  29971.9    30010  1775296404881  1775296414984
read      233.8   119.3    86.8   139.5   151.2   217.4   250.8   271.1   286.9   306.0   331.0   369.9   462.8  1064.4  4369.4  30000.9    30015  1775296416498  1775296426600
read      222.8   108.1    86.8   136.1   147.0   206.9   238.0   258.1   272.9   291.5   315.0   350.9   430.4  1110.9  4069.3  30038.4    30020  1775296428113  1775296438213
read      232.5   113.6    86.8   138.5   150.8   217.1   250.1   270.3   285.7   304.1   328.3   366.1   451.9  1194.3  4098.8  30083.2    30025  1775296439725  1775296449824
read      235.7   122.5    93.8   140.6   152.8   220.8   253.9   274.0   289.6   307.9   331.8   369.2   456.9   982.1  4342.8  30025.7    30030  1775296451336  1775296461436
read      231.8    93.0    86.8   138.9   151.2   218.8   251.7   271.6   286.6   304.2   326.9   362.9   440.3   646.3  3721.9  30032.6    30035  1775296462949  1775296473049
read      231.1    99.8    86.8   136.7   149.3   217.5   251.1   271.3   286.5   304.5   327.5   364.3   444.0   664.7  4054.4  30025.2    30040  1775296474563  1775296484665
read      236.4   101.4    86.8   139.5   152.6   222.8   257.1   277.1   292.3   310.5   334.1   370.5   456.6   797.8  4120.1  30022.9    30045  1775296486178  1775296496277
read      230.4   107.2    86.8   135.5   148.7   216.2   249.4   269.3   284.2   302.0   325.4   363.2   451.9   813.7  4173.7  30103.2    30050  1775296497789  1775296507888
read      236.0   106.2    86.8   139.9   152.8   222.6   256.6   276.1   291.4   309.3   332.2   367.9   450.1   779.0  4292.7  29996.9    30055  1775296509401  1775296519501
read      234.9   105.8    86.8   134.3   148.0   221.7   258.0   278.7   293.9   311.8   334.3   368.3   449.1   768.5  4207.4  30078.2    30060  1775296521014  1775296531116
read      237.6    99.7    86.8   139.4   152.5   223.6   257.9   278.0   293.3   311.5   335.3   372.1   467.8   901.8  4126.4  30140.5    30065  1775296532628  1775296542738
read      238.1   115.2    86.8   139.2   151.6   224.3   260.1   280.8   295.7   314.2   337.5   372.1   455.7   933.9  4215.3  30059.5    30070  1775296544250  1775296554350
read      231.1   100.4    86.8   138.7   150.8   217.3   250.5   270.4   285.3   302.7   324.9   360.6   436.5   862.1  4168.1  30076.3    30075  1775296555861  1775296565963
read      239.9   103.6    86.8   139.8   152.4   225.8   262.2   283.5   298.7   317.3   341.3   377.2   463.6   796.5  4107.9  29995.0    30080  1775296567474  1775296577583
read      234.1   115.0    86.8   140.2   152.2   219.3   252.8   273.1   288.6   306.6   329.5   365.7   446.6   983.8  4295.0  30172.2    30085  1775296579094  1775296589198
read      229.6    91.5    80.4   137.5   149.9   216.4   249.7   269.5   284.4   301.9   324.2   360.1   435.0   648.0  3330.0  30108.8    30090  1775296590710  1775296600810
read      234.1    93.6    86.8   139.0   151.6   221.6   255.6   275.1   290.3   307.7   329.7   365.1   444.7   659.2  3199.3  30099.0    30095  1775296602323  1775296612426
read      229.3   105.6    80.4   135.3   148.5   215.6   248.9   268.6   283.2   300.3   322.2   358.9   436.5   930.9  4112.0  30013.6    30100  1775296613938  1775296624039
read      238.4   106.6    86.8   138.5   151.7   224.7   260.7   281.4   296.3   314.8   338.3   373.8   461.8   794.1  3475.9  30114.5    30105  1775296625552  1775296635653
read      234.3   102.9    86.8   139.5   152.5   220.1   253.8   273.9   289.4   307.4   330.5   366.8   449.7   806.7  4015.8  30109.6    30110  1775296637166  1775296647266
read      240.8   102.6    86.8   140.5   154.4   227.1   263.0   283.8   298.6   316.8   340.4   376.8   461.8   798.3  3858.0  30124.4    30115  1775296648781  1775296658882
read      235.7    91.2    86.8   138.8   152.2   222.3   256.9   277.4   292.8   311.2   334.5   369.8   452.8   702.1  3143.5  30072.4    30120  1775296660395  1775296670498
read      238.3   103.4    86.8   136.7   150.5   225.4   261.1   281.8   296.6   315.1   338.6   373.9   459.9   769.4  4193.4  30007.7    30125  1775296672010  1775296682115
