#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      264.2   153.3   101.3   156.5   170.5   245.3   280.3   300.2   315.2   333.8   359.2   402.5   567.5  2336.2  5503.9  29951.4    30000  1777920562697  1777920572852
read      258.3   118.7    93.8   155.3   169.2   243.2   277.6   297.3   312.7   330.9   355.3   395.6   508.4  1641.5  4146.5  30009.6    30005  1777920574369  1777920584505
read      276.6   186.2    93.8   154.4   169.6   254.0   292.7   315.0   332.0   352.4   381.2   430.1   645.4  2983.9  6208.5  30000.6    30010  1777920586020  1777920596125
read      295.4   237.4    93.8   153.5   168.8   255.1   296.0   320.4   340.5   366.9   406.6   513.7  1079.0  3296.4  6428.6  30086.9    30015  1777920597640  1777920607746
read      275.6   309.1    93.8   150.1   163.5   242.5   281.9   305.3   322.2   344.5   375.7   437.6   805.0  3537.9 11941.6  30039.5    30020  1777920609263  1777920619394
read      259.6   134.9    93.8   154.9   168.9   241.9   275.5   295.6   310.8   329.1   355.2   401.7   573.4  1791.4  5065.2  30015.3    30025  1777920620915  1777920631025
read      255.4   105.5    93.8   149.7   163.8   241.2   276.5   296.7   312.3   330.6   355.2   397.2   518.3  1196.5  3733.2  30054.8    30030  1777920632543  1777920642655
read      260.6   148.2    86.8   147.6   161.8   239.7   275.9   297.5   314.0   334.5   363.9   419.6   649.7  1774.3  5110.2  29994.8    30035  1777920644175  1777920654280
read      270.3   128.1    86.8   152.5   167.8   251.0   289.1   311.2   327.7   347.7   377.9   433.8   664.7  1470.9  4021.8  29990.3    30040  1777920655796  1777920665904
read      255.4   116.2    93.8   149.7   163.5   237.9   273.0   293.6   309.3   328.3   355.3   403.7   573.2  1347.0  3789.2  30108.1    30045  1777920667420  1777920677524
read      254.8   105.8    93.8   151.2   164.5   238.9   274.0   294.6   310.2   328.9   355.2   400.6   543.4  1116.9  3205.4  30009.1    30050  1777920679043  1777920689147
read      261.0   110.8    93.8   149.1   164.6   247.1   283.8   304.6   319.4   338.9   365.2   409.3   541.7  1070.9  3720.7  30059.3    30055  1777920690663  1777920700768
read      257.5   106.0    86.8   152.1   166.7   243.6   278.5   298.4   313.8   332.4   357.7   400.3   516.5   976.2  3628.9  30041.2    30060  1777920702283  1777920712384
read      252.5   115.5    93.8   150.0   163.7   237.6   272.0   292.2   307.4   325.2   350.0   394.8   519.6  1008.6  4365.2  30098.6    30065  1777920713900  1777920724003
read      256.3   112.3    86.8   149.2   163.5   241.0   276.2   296.7   312.7   331.9   358.3   403.1   543.7  1109.7  3810.9  30051.7    30070  1777920725520  1777920735625
read      260.5   107.3    93.8   153.9   168.5   248.3   283.5   303.3   317.6   335.8   359.7   398.3   502.5  1107.6  3918.7  30056.8    30075  1777920737138  1777920747243
read      259.3   107.8    93.8   150.3   165.6   247.0   282.5   302.6   317.2   335.6   359.9   399.8   505.6  1135.0  3541.0  30100.0    30080  1777920748758  1777920758857
read      253.1   106.9    93.8   146.6   161.0   239.0   274.4   295.1   310.5   328.6   353.2   395.9   523.3  1167.5  3433.5  30106.9    30085  1777920760372  1777920770476
read      256.9   112.4    86.8   153.2   167.8   242.2   276.2   296.2   311.5   329.5   354.4   398.0   528.4  1047.4  4320.2  30129.9    30090  1777920771993  1777920782101
read      257.2   112.8    93.8   154.3   168.8   244.2   278.4   297.6   312.4   329.8   353.4   395.0   503.4   923.8  3943.1  30129.7    30095  1777920783616  1777920793720
read      250.8   101.2    86.8   150.6   163.8   238.0   272.2   292.0   306.6   323.0   346.1   386.2   488.1   972.8  3765.6  30111.4    30100  1777920795234  1777920805337
read      248.3    99.9    93.8   147.4   161.9   237.1   270.5   289.6   303.6   319.7   342.5   379.2   472.7   839.5  3625.0  30108.5    30105  1777920806852  1777920816958
read      254.0   102.5    86.8   152.5   167.1   242.5   275.2   294.4   308.8   325.3   347.3   386.8   482.5   924.6  3694.5  30080.9    30110  1777920818473  1777920828579
read      251.3   105.5    86.8   150.4   164.5   237.8   272.1   291.9   306.8   323.9   346.8   388.6   492.9   844.7  3480.3  30160.9    30115  1777920830093  1777920840197
read      253.9   125.6    86.8   144.0   158.8   235.1   271.2   292.1   308.1   327.5   355.3   405.1   612.4  1591.9  3617.2  30020.4    30120  1777920841711  1777920851813
read      259.9   125.4    86.8   151.2   165.5   240.9   275.3   295.7   311.5   330.8   358.9   411.9   635.6  1558.8  3648.9  30168.4    30125  1777920853328  1777920863431
read      258.2   107.7    93.8   151.4   165.9   241.9   277.1   297.7   313.6   332.8   359.4   405.6   570.3  1207.4  3139.4  30202.1    30130  1777920864947  1777920875049
read      283.1   207.1    93.8   156.5   172.7   255.3   293.2   315.6   332.9   354.6   386.9   451.6   798.9  3007.4  6971.9  30250.1    30135  1777920876565  1777920886668
read      271.9   122.1    93.8   161.1   176.4   254.9   290.3   310.8   325.7   344.6   371.7   422.3   605.2  1616.1  3765.6  30142.2    30140  1777920888182  1777920898286
