#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      231.9    92.3    93.8   145.4   157.7   221.7   251.9   268.9   281.1   295.2   314.2   342.1   403.9   967.7  3538.3  29978.0    30000  1775654829968  1775654840114
read      245.0   100.1    86.8   151.5   165.2   236.1   267.2   284.0   295.6   310.5   328.8   358.8   428.7   878.4  4191.4  30014.5    30005  1775654841628  1775654851750
read      258.3   137.7    86.8   153.9   167.9   241.7   275.0   294.1   308.5   324.9   347.2   390.7   567.2  1912.1  4966.5  29995.3    30010  1775654853263  1775654863363
read      238.7   102.4    93.8   150.6   163.2   228.4   258.6   275.1   287.7   301.7   319.4   346.2   413.1  1087.4  3737.0  30064.7    30015  1775654864876  1775654874976
read      244.3   193.1    93.8   147.4   159.7   227.5   259.7   277.4   291.0   307.0   327.3   361.8   483.6  1955.3 12088.1  29977.6    30020  1775654876488  1775654886588
read      235.3   111.4    86.8   145.5   157.4   221.9   252.3   269.9   282.8   297.3   317.4   348.0   441.1  1583.7  3897.9  30030.7    30025  1775654888102  1775654898202
read      233.0    83.2    93.8   145.8   158.2   223.9   253.5   270.3   282.6   296.3   315.1   343.6   411.6   807.6  2940.7  29938.8    30030  1775654899716  1775654909815
read      235.0    94.2    86.8   148.9   161.0   225.3   255.3   272.2   284.7   298.3   316.8   344.1   405.8   740.0  4086.6  30036.3    30035  1775654911327  1775654921426
read      278.6   234.4    86.8   150.9   164.3   236.9   272.2   292.9   308.9   328.9   360.9   482.2  1160.9  3495.3  4693.6  30045.8    30040  1775654922938  1775654933039
read      318.7   356.4    93.8   147.1   159.9   234.1   275.0   301.7   323.4   358.8   464.2   756.5  2390.6  3726.1  5149.2  30069.1    30045  1775654934552  1775654944652
read      327.3   401.2    93.8   146.7   159.0   229.7   270.7   296.6   319.3   358.3   506.0   821.2  2589.5  4272.1  6562.5  30076.6    30050  1775654946167  1775654956266
read      244.3   119.6    86.8   148.4   160.9   229.2   260.9   278.0   290.9   306.1   325.0   359.2   559.7  1572.2  3742.5  29985.2    30055  1775654957785  1775654967887
read      243.9    95.1    93.8   151.8   165.3   235.4   266.3   282.7   294.3   308.7   326.2   355.1   424.0   722.3  3970.7  30007.3    30060  1775654969400  1775654979503
read      237.5    94.5    86.8   147.4   160.6   228.8   259.1   275.2   287.9   301.9   319.4   346.6   411.6   884.5  3837.1  29997.8    30065  1775654981016  1775654991115
read      240.2    89.4    93.8   148.6   161.6   231.1   262.6   279.7   292.2   307.1   325.0   354.4   427.3   774.9  3805.5  30059.3    30070  1775654992628  1775655002729
read      236.3   117.4    93.8   148.4   160.9   225.0   254.2   271.1   283.5   297.1   316.5   345.2   424.9  1293.3  5184.8  30096.7    30075  1775655004241  1775655014341
read      247.0   109.6    93.8   148.8   162.3   234.7   267.4   285.6   298.1   314.3   335.2   369.4   485.1  1236.8  3614.7  30112.1    30080  1775655015854  1775655025953
read      244.1   113.0    93.8   149.3   162.1   230.9   263.0   280.7   293.6   309.6   330.3   366.3   488.8  1256.2  4375.3  30081.7    30085  1775655027467  1775655037568
read      236.3    99.4    93.8   144.7   157.4   224.5   255.8   273.2   286.3   301.1   320.2   354.1   457.4  1009.0  3867.8  30110.7    30090  1775655039082  1775655049182
read      235.7    86.2    86.8   143.7   156.5   225.5   257.1   274.3   287.6   302.6   321.2   353.6   438.5   834.4  3094.6  30022.3    30095  1775655050696  1775655060796
read      239.5   107.1    86.8   147.6   160.7   229.2   259.7   276.3   289.1   303.7   321.5   352.6   436.4  1020.0  4279.5  30171.3    30100  1775655062308  1775655072410
read      248.2   137.3    93.8   148.8   162.2   233.7   266.6   284.9   297.7   314.5   336.1   370.9   499.2  1904.7  5759.3  30053.3    30105  1775655073923  1775655084059
read      246.6   165.6    93.8   146.2   160.0   231.6   263.9   281.3   293.9   309.5   329.3   363.9   534.0  2267.8  7676.7  30136.6    30110  1775655085574  1775655095827
read      246.2   162.6    93.8   149.3   161.7   229.4   261.2   278.6   291.8   307.7   328.4   365.2   553.5  2200.0  7104.9  30090.6    30115  1775655097342  1775655107557
read      238.2    91.6    93.8   149.8   162.8   229.1   259.3   275.4   288.3   302.5   319.9   347.0   413.1   729.9  4065.8  30095.8    30120  1775655109070  1775655119168
read      239.1    95.7    93.8   146.1   159.9   230.4   261.6   278.2   290.6   305.0   322.4   351.1   419.8   804.7  3615.8  30104.1    30125  1775655120680  1775655130782
read      237.4    88.7    93.8   146.0   159.1   228.1   259.5   276.5   289.3   303.9   321.4   351.3   421.8   789.7  3768.4  30028.3    30130  1775655132294  1775655142393
