#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      225.8    86.0    93.8   141.2   153.4   218.9   246.7   262.0   272.4   285.5   300.9   325.7   391.7   718.0  3200.0  30013.6    30000  1778278472971  1778278483126
read      229.7    87.0    86.8   142.4   155.1   221.6   250.4   266.5   277.5   291.4   309.4   337.5   406.5   717.0  3358.4  30093.1    30005  1778278484640  1778278494767
read      232.0    84.4    86.8   145.1   157.8   223.5   252.2   268.5   280.1   293.9   312.4   340.6   413.8   689.5  3162.6  29972.7    30010  1778278496280  1778278506390
read      235.7    88.5    86.8   145.6   159.8   227.8   256.9   272.5   284.5   297.3   315.6   343.7   423.0   745.7  3593.3  30063.2    30015  1778278507904  1778278518011
read      227.9    95.2    86.8   143.5   156.0   218.6   246.3   262.3   273.3   287.7   305.4   333.8   404.6   724.1  4214.7  30138.3    30020  1778278519523  1778278529629
read      226.2    82.3    86.8   139.8   152.3   218.3   246.4   262.2   273.2   287.2   304.7   333.5   411.9   718.3  2947.7  30015.1    30025  1778278531144  1778278541250
read      227.3    98.6    86.8   143.3   155.6   217.9   246.6   263.0   274.0   288.3   305.6   332.4   397.4   615.9  4228.8  29968.4    30030  1778278542766  1778278552868
read      239.7    96.6    93.8   149.8   162.9   227.9   257.9   274.5   287.7   302.6   321.0   354.3   458.7  1096.9  3482.3  30032.6    30035  1778278554382  1778278564495
read      248.6   151.5    86.8   147.5   161.0   231.0   264.0   282.6   296.1   313.6   336.7   375.2   509.2  2345.2  5033.7  30010.8    30040  1778278566009  1778278576118
read      252.8   685.1    86.8   144.9   158.9   228.3   260.4   278.4   292.3   309.6   333.0   373.5   505.7  1725.6 51595.7  30021.2    30045  1778278577633  1778278587735
read      249.3   112.3    86.8   149.9   163.9   236.1   268.6   287.0   300.2   317.0   339.8   378.7   488.2  1334.0  4205.1  30080.8    30050  1778278589249  1778278599356
read      242.0   124.1    86.8   147.1   159.6   225.9   257.5   275.1   288.9   305.0   326.7   366.0   502.1  1978.4  4094.1  30101.6    30055  1778278600870  1778278610977
read      247.7   192.9    86.8   147.4   160.8   230.1   261.9   280.2   294.0   311.3   334.6   374.1   519.2  2081.5 11937.8  30048.1    30060  1778278612490  1778278622597
read      233.0   132.9    86.8   144.0   156.1   218.7   247.5   264.1   275.3   290.5   310.0   342.0   449.6  2205.7  4642.8  30115.3    30065  1778278624111  1778278634213
read      230.7    92.7    93.8   146.7   158.8   221.7   249.8   265.7   276.4   290.2   307.5   335.2   410.5   830.9  3604.5  30147.4    30070  1778278635727  1778278645831
read      237.9   143.3    93.8   147.0   158.8   221.1   250.9   268.8   281.7   296.6   317.1   350.1   464.7  2438.3  4811.5  30014.6    30075  1778278647346  1778278657448
read      234.6   118.6    93.8   149.9   161.5   220.8   249.1   265.9   277.6   292.2   311.4   341.5   432.2  2020.7  4101.3  29998.2    30080  1778278658962  1778278669068
read      229.8    93.3    93.8   146.8   158.1   218.8   248.1   265.3   277.2   292.2   311.2   340.0   408.7   824.1  3708.4  30103.5    30085  1778278670582  1778278680688
read      231.5   100.2    86.8   145.8   157.4   219.0   248.5   265.9   278.1   293.5   313.4   343.6   429.0  1214.8  3574.3  30102.9    30090  1778278682201  1778278692304
read      245.0   131.4    86.8   150.5   162.9   228.7   260.0   277.5   291.0   307.1   327.8   364.7   503.8  2124.4  4246.6  30165.1    30095  1778278693818  1778278703919
read      244.0   130.5    93.8   151.1   163.3   228.9   259.4   276.2   289.5   304.9   324.4   359.5   486.4  2086.5  4921.8  30001.6    30100  1778278705433  1778278715541
read      249.6   144.6    86.8   151.0   164.3   232.9   264.7   282.5   295.5   312.0   333.2   368.4   515.6  2245.3  5054.1  30141.6    30105  1778278717056  1778278727162
read      234.4   139.3    93.8   146.6   157.7   216.5   245.3   262.7   274.8   290.6   311.0   343.9   502.4  2135.8  5245.8  30007.9    30110  1778278728674  1778278738780
read      258.1   188.2    86.8   153.2   166.4   236.8   269.0   287.0   299.8   316.3   338.4   374.7   603.2  3195.4  6231.6  30104.6    30115  1778278740294  1778278750400
read      230.1   106.6    93.8   147.1   158.5   218.9   248.0   265.1   276.8   291.8   310.5   338.7   403.4   908.9  4646.7  30037.3    30120  1778278751914  1778278762021
read      229.0    87.7    93.8   147.3   158.1   218.6   248.2   265.1   276.7   291.6   310.2   337.9   398.8   742.3  3417.2  30137.8    30125  1778278763535  1778278773636
read      232.1    86.9    93.8   148.4   160.1   221.7   250.7   267.8   280.0   294.6   313.6   341.9   406.1   823.4  3741.0  30103.7    30130  1778278775150  1778278785257
read      236.6    99.3    93.8   149.8   162.3   228.0   256.7   272.2   283.9   296.5   314.4   341.9   415.1  1006.5  4187.3  30158.8    30135  1778278786770  1778278796875
read      231.4   105.2    86.8   143.8   156.5   221.2   249.6   266.1   277.6   292.0   310.5   339.6   422.6  1016.2  4172.1  30065.6    30140  1778278798391  1778278808504
read      238.3    93.8    80.4   151.7   164.6   229.8   257.7   273.1   285.0   297.7   316.0   343.4   418.6   751.2  3857.8  30088.3    30145  1778278810018  1778278820120
read      233.2   145.3    86.8   144.1   155.7   217.4   245.9   262.7   274.4   289.8   309.2   340.3   458.0  2937.8  4788.9  30162.4    30150  1778278821635  1778278831739
read      268.3   224.8    86.8   151.4   165.0   238.8   272.0   291.3   305.5   321.8   346.5   398.2   923.5  3387.6  6239.2  30107.3    30155  1778278833254  1778278843356
read      233.9   163.5    93.8   143.3   154.9   215.5   244.6   261.6   273.4   288.9   308.6   341.1   494.5  3028.1  5736.0  30112.7    30160  1778278844870  1778278854981
read      232.0   153.8    86.8   142.6   154.4   215.1   243.4   260.0   272.1   287.4   307.4   340.9   490.2  2528.8  6114.0  30111.6    30165  1778278856497  1778278866606
read      227.5   105.6    80.4   140.2   152.3   219.2   247.4   263.0   273.6   287.6   304.8   332.5   407.3   951.0  4273.7  30250.5    30170  1778278868121  1778278878229
read      224.9    85.0    86.8   141.9   154.0   216.5   244.1   259.6   270.7   284.2   300.5   327.6   398.9   707.7  3229.1  30165.5    30175  1778278879742  1778278889849
read      218.8    96.6    86.8   137.7   149.5   210.0   235.3   250.5   261.6   273.9   291.9   319.6   399.1   836.1  3975.0  30242.2    30180  1778278891363  1778278901472
read      226.6    86.4    86.8   141.2   153.8   218.4   246.1   261.9   272.8   287.1   304.6   332.9   402.9   677.2  3310.0  30193.7    30185  1778278902986  1778278913091
read      226.4    78.8    86.8   139.9   152.8   218.9   247.2   263.2   274.2   288.3   305.6   333.0   401.1   598.6  2743.2  30222.6    30190  1778278914604  1778278924714
read      224.0    94.9    86.8   138.4   150.9   214.9   242.9   258.7   270.3   284.4   301.9   331.4   408.1   838.7  4062.8  30261.3    30195  1778278926227  1778278936332
read      221.5    82.9    86.8   136.1   148.4   213.7   241.3   256.6   268.2   281.6   298.3   327.1   401.6   685.3  3161.9  30229.6    30200  1778278937846  1778278947965
read      230.3    84.2    86.8   143.5   156.4   222.7   251.0   266.9   277.7   291.5   309.2   336.9   402.5   653.2  3160.1  30106.2    30205  1778278949479  1778278959584
read      228.4    88.9    93.8   144.2   156.6   220.3   248.6   264.5   275.0   288.8   305.6   331.8   394.9   740.6  3977.7  30115.0    30210  1778278961097  1778278971204
read      234.1    98.8    86.8   146.8   159.8   223.4   251.7   268.0   279.6   293.4   312.1   341.9   440.4  1185.2  4063.4  30216.5    30215  1778278972717  1778278982870
read      250.9   179.8    93.8   152.1   165.3   231.2   261.3   278.2   291.5   307.5   328.8   370.4   591.7  2768.1  7033.6  30204.0    30220  1778278984389  1778278994693
read      243.2   165.3    93.8   150.2   162.5   225.5   254.2   270.8   283.3   297.2   317.5   353.5   579.4  2727.2  5905.8  30211.5    30225  1778278996210  1778279006484
read      242.0   124.6    93.8   149.4   162.1   230.9   260.7   276.3   288.7   302.5   319.9   351.0   462.9  1565.4  4272.0  30231.8    30230  1778279007999  1778279018228
read      233.5    98.9    93.8   149.6   161.4   222.3   250.8   267.3   278.9   293.2   311.8   340.5   420.0  1491.8  3320.9  30134.9    30235  1778279019742  1778279029848
read      245.8   133.0    93.8   152.8   165.1   230.5   261.0   277.8   290.9   306.4   326.0   361.4   490.7  2067.4  4782.8  30291.6    30240  1778279031360  1778279041466
read      237.7   131.9    93.8   149.0   160.2   222.5   251.9   269.2   282.0   296.9   317.1   349.7   465.6  2071.3  5155.2  30236.4    30245  1778279042981  1778279053085
read      232.8   135.3    86.8   144.7   156.0   216.4   245.8   263.2   275.2   291.3   311.3   343.1   467.4  2174.5  4744.3  30300.0    30250  1778279054598  1778279064707
read      233.1   136.6    93.8   143.4   154.9   217.1   246.5   263.7   275.6   291.6   312.0   344.1   478.9  2064.6  4745.5  30133.3    30255  1778279066222  1778279076329
read      252.0   130.3    93.8   153.7   166.7   237.6   269.3   287.0   299.5   315.4   336.5   370.6   496.6  2001.3  4601.6  30289.8    30260  1778279077842  1778279087949
read      239.5   165.4    93.8   150.2   161.6   218.9   247.2   264.0   275.5   291.0   310.7   342.3   558.6  2350.3  5994.3  30263.9    30265  1778279089463  1778279099567
read      243.6    95.5    93.8   150.6   163.9   233.3   264.6   282.0   294.5   310.1   329.6   361.6   436.8  1050.9  3299.2  30222.5    30270  1778279101080  1778279111183
read      241.2    96.6    93.8   151.2   164.0   231.3   262.2   279.3   292.0   307.1   325.7   355.4   421.6   824.9  3812.0  30304.2    30275  1778279112696  1778279122803
read      238.6    83.6    86.8   150.7   163.6   230.0   259.6   275.5   287.9   301.4   318.8   345.8   416.3   800.5  3075.1  30216.2    30280  1778279124316  1778279134418
read      230.3    87.6    86.8   146.0   158.8   222.7   250.5   266.1   276.6   290.3   307.4   333.9   399.2   631.1  3474.1  30257.0    30285  1778279135930  1778279146034
read      235.2   137.1    86.8   144.4   157.0   221.9   251.6   268.2   280.0   294.0   312.5   341.0   429.0  2735.1  3808.5  30362.4    30290  1778279147545  1778279157658
read      234.9   190.0    86.8   144.1   155.4   214.2   242.5   259.5   271.7   287.1   307.0   339.9   479.2  3275.3  6236.1  30266.4    30295  1778279159169  1778279169274
read      261.4   256.2    93.8   146.1   158.9   228.7   261.5   280.4   294.4   312.1   336.1   383.6   960.6  3934.0  6966.4  30335.7    30300  1778279170786  1778279180891
read      236.5   156.7    86.8   144.8   156.3   218.5   248.4   265.4   277.2   292.5   312.3   343.7   499.6  2784.3  5909.4  30330.1    30305  1778279182404  1778279192517
read      238.3   170.9    80.4   146.3   158.3   221.0   249.8   266.4   277.9   292.5   311.4   341.7   459.1  2782.2  6201.1  30213.2    30310  1778279194030  1778279204132
