#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      249.5    89.6    93.8   153.7   167.7   238.7   271.3   289.8   303.2   318.6   340.2   373.6   454.3   818.3  2951.9  29922.2    30000  1778611567464  1778611577613
read      260.3   139.2    93.8   158.7   172.9   244.3   277.3   296.7   311.7   329.3   353.3   394.0   501.8  1966.0  6155.4  29971.4    30005  1778611579126  1778611589250
read      255.3   116.2    93.8   156.1   169.7   239.7   272.9   292.4   307.2   324.6   348.9   390.8   500.7  1580.9  4691.0  29990.7    30010  1778611590764  1778611600862
read      252.8   108.7    93.8   155.6   168.9   237.6   271.0   290.5   305.0   321.7   345.8   386.0   484.5  1419.0  4234.6  29990.7    30015  1778611602376  1778611612474
read      261.8   126.2    86.8   158.4   172.8   246.5   280.6   300.2   315.1   333.4   357.7   396.3   498.4  1899.7  4588.0  29915.9    30020  1778611613988  1778611624090
read      248.8   114.7    86.8   153.8   166.8   233.5   265.5   284.0   297.2   314.5   337.8   374.7   480.2  1596.7  4103.4  30022.7    30025  1778611625603  1778611635705
read      264.5   140.7    93.8   158.0   172.5   248.0   283.2   303.4   318.1   337.0   362.0   401.4   516.4  2192.7  5127.2  30038.8    30030  1778611637218  1778611647317
read      264.4   125.5    93.8   157.7   172.5   249.4   284.8   305.1   319.6   338.9   364.0   402.6   508.6  1624.3  4843.4  30022.0    30035  1778611648831  1778611658927
read      255.2   109.1   101.3   158.4   171.8   240.1   272.8   291.9   306.4   323.4   346.9   386.7   486.1  1460.4  3878.7  30116.5    30040  1778611660440  1778611670538
read      255.4   106.5    93.8   160.6   174.0   241.1   272.4   291.3   305.6   321.9   345.2   383.2   481.6  1432.9  3802.8  30041.1    30045  1778611672052  1778611682149
read      260.1   115.6   101.3   157.7   171.9   245.5   279.7   299.0   314.1   332.6   357.2   395.8   495.7  1510.5  4198.7  30098.3    30050  1778611683662  1778611693759
read      254.5   102.8    93.8   157.1   170.9   241.4   273.8   293.0   307.3   323.9   346.9   386.3   471.2  1224.3  3258.9  30070.2    30055  1778611695271  1778611705375
read      257.8   120.3   101.3   157.8   171.6   242.3   275.2   294.9   309.9   327.4   350.9   390.4   492.7  1823.9  4205.0  30086.4    30060  1778611706888  1778611716984
read      266.2   111.1    93.8   161.7   176.6   252.8   287.2   307.0   320.8   339.8   364.4   401.4   497.0  1434.1  3476.1  30021.2    30065  1778611718496  1778611728596
read      249.0   111.7    93.8   154.4   167.6   234.0   266.1   284.4   297.4   314.9   337.9   373.4   471.4  1449.6  4051.3  29940.9    30070  1778611730109  1778611740208
read      250.8   101.1   101.3   154.3   167.8   236.7   269.3   288.3   302.2   319.0   343.0   381.1   474.3  1251.6  3066.9  30043.7    30075  1778611741721  1778611751821
read      256.2   117.4    93.8   158.6   172.6   242.1   273.9   293.1   307.3   323.4   346.3   384.0   477.0  1703.9  3721.2  30047.6    30080  1778611753333  1778611763432
read      248.9   124.3    93.8   154.6   167.8   234.2   265.9   284.1   297.0   314.4   337.5   373.3   463.5  1687.7  4395.7  30095.8    30085  1778611764944  1778611775043
read      255.9   113.7   101.3   156.9   171.1   242.1   274.5   293.7   308.2   325.0   347.9   386.2   471.7  1533.2  3867.8  30082.9    30090  1778611776556  1778611786657
read      240.6    95.7    93.8   148.4   161.7   230.1   261.1   278.2   291.2   306.6   326.0   359.4   436.0   998.7  3623.7  30048.0    30095  1778611788168  1778611798266
read      239.9   108.8    86.8   151.2   164.2   228.2   258.0   274.7   287.8   302.7   321.6   356.2   433.9  1056.2  4005.1  30086.3    30100  1778611799779  1778611809879
