Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1775302713708
Timestamp end: 1775304514008

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      249.7    82.9   101.3   164.2   177.8   240.5   267.6   282.9   293.7   307.9   325.9   358.2   434.8   857.0  3339.6   6891.8     6927
read      289.5   141.2    80.4   132.3   147.5   264.8   330.7   369.1   395.1   424.0   459.3   510.9   640.0  1352.3  3072.9  52866.9    52892
read      325.5   328.1    74.4   133.2   148.5   250.2   310.2   351.4   387.5   437.4   524.9   716.3  1629.6  3680.8  7824.5  98822.5    98921
read      266.3   114.6    80.4   129.9   144.0   247.3   301.2   333.3   356.8   384.3   417.9   465.4   569.8   764.3  2101.1  61141.2    61129
read      270.3   107.9    80.4   137.9   153.5   260.9   307.4   333.2   351.4   372.8   399.2   436.3   510.1   670.7  2949.0  40658.5    40613
read      267.5   110.5    74.4   131.8   146.4   252.2   304.3   334.4   356.1   381.3   411.9   456.6   545.0   713.0  2032.7  53158.3    53226
read      280.4   113.5    80.4   138.5   154.6   267.0   320.7   350.8   371.7   395.0   423.1   463.2   544.6   776.5  2746.7  38553.2    38560
read      363.9   418.3    80.4   137.2   153.3   259.6   320.3   363.2   399.8   458.0   579.7   945.3  2421.3  4136.2  7961.3 103451.0   103465
read      307.3   236.3    80.4   133.9   149.1   246.1   303.7   343.0   376.6   425.4   511.2   700.0  1243.8  2404.4  5785.8 104733.7   104758
read      291.6   193.2    80.4   131.7   146.3   243.8   301.8   340.7   372.3   415.6   484.1   618.6   943.2  1869.3  4642.8  94759.8    94759
read      281.2   113.5    80.4   138.9   155.1   267.9   321.6   351.5   372.1   395.3   423.3   463.1   546.6   816.0  2848.8  37828.7    37799
read      263.9    87.3    93.8   162.4   177.4   253.6   287.1   306.3   319.9   337.8   360.4   394.4   468.1   862.0  2467.6   8366.9     8296
read      448.3   825.3    80.4   132.1   147.9   253.3   319.2   369.6   408.4   458.0   536.7  1372.3  4819.4  7999.8  9439.2  69328.7    69443
read      277.6   104.1    86.8   161.0   177.9   266.0   305.4   328.2   344.5   364.5   389.0   424.7   500.1   952.8  2786.7  12525.5    12517
read      303.9   143.4    80.4   137.1   153.8   278.5   348.3   385.6   410.6   439.4   478.0   543.0   690.7  1127.8  2946.3  43535.5    43591
read      310.4   124.6    80.4   154.9   175.5   296.4   356.4   386.4   405.8   428.9   457.4   499.8   591.9  1020.4  2709.4  20467.7    20430
read      370.4   524.8    80.4   133.7   149.5   254.4   314.0   355.2   390.6   440.9   536.7   872.5  2967.8  6805.5  8743.0  93631.1    93758
read      270.4    99.5    86.8   162.1   178.0   259.3   294.9   316.1   331.9   349.9   373.0   408.0   486.4   865.5  3163.4  10482.6    10485
read      301.3   111.4    86.8   158.6   178.1   288.7   342.8   370.5   389.4   410.0   435.3   473.8   562.2   864.6  2544.7  16518.3    16518
read      358.1   608.9    80.4   131.4   146.4   251.2   310.9   350.8   383.7   426.4   491.7   641.1  3247.3  8400.9 10112.1  83180.0    83230
read      248.0    95.2    93.8   161.9   175.1   236.3   264.1   279.5   291.7   306.9   326.8   360.8   445.5   926.8  3333.5   5477.3     5484
read      298.7   158.0    80.4   131.5   146.7   267.7   339.2   379.4   406.6   437.9   479.1   547.1   761.7  1421.2  3049.4  55547.3    55611
read      296.1   138.6    80.4   150.3   170.4   282.8   334.5   362.2   381.2   401.9   429.0   468.1   562.4  1214.7  5743.6  20771.0    20774
read      425.4   718.0    80.4   133.5   150.0   253.3   306.6   343.9   378.6   434.5   563.7  1423.5  3869.0  7818.8  9721.2  96750.2    96726
read      266.6   103.6    80.4   137.5   153.3   257.8   302.2   326.9   344.0   364.4   389.2   425.6   501.4   705.3  2846.8  32439.0    32442
read      274.2   148.6    80.4   126.0   139.7   244.0   306.1   344.9   373.1   405.0   445.8   506.3   657.1  1446.3  3838.5  72913.8    73039
read      263.6   119.2    80.4   127.4   140.9   239.6   294.5   328.0   352.9   383.3   422.0   480.4   610.7   819.3  1971.8  74023.9    74055
read      265.9   107.7    80.4   131.0   145.7   252.0   303.4   332.5   353.2   377.3   406.4   450.0   538.6   686.8  1985.4  51227.9    51197
read      264.0   115.1    80.4   128.9   143.0   246.2   299.2   330.3   352.8   379.2   411.6   458.6   557.0   736.0  2183.3  59485.4    59442
read      272.5   111.4    80.4   136.9   152.9   262.5   311.7   338.4   357.3   378.2   403.1   439.7   510.9   692.3  2670.0  35651.1    35654
read      270.0   146.8    74.4   126.8   140.3   239.9   297.6   334.6   362.3   395.1   436.5   503.6   663.5  1319.0  4127.4  78706.3    78747
read      266.3   107.5    80.4   134.1   149.5   256.3   303.2   329.3   347.5   369.6   396.4   434.4   510.5   673.4  3046.1  42217.1    42212
read      261.2   106.2    80.4   129.2   143.2   248.1   297.3   325.5   345.4   369.4   398.9   441.9   534.7   728.8  1673.7  52488.3    52488
read      265.9   106.5    74.4   133.4   148.9   256.3   303.7   330.2   348.2   369.4   395.0   431.7   506.5   688.4  1975.1  37001.4    36950
read      275.9   100.8    80.4   149.3   167.4   264.5   308.3   333.3   350.7   371.1   396.5   433.2   509.4   825.5  2563.2  16694.1    16762
read      426.7   798.5    74.4   130.6   146.0   248.6   303.2   342.1   375.4   422.3   501.4  1337.4  4590.2  8113.0 10225.8  79410.7    79473
read      265.4   117.2    80.4   129.0   142.8   246.3   300.2   332.2   355.5   382.7   416.4   465.5   573.4   759.2  2497.4  61518.5    61431
read      267.4   140.9    74.4   126.6   140.0   235.2   291.6   327.1   354.5   388.9   434.9   513.7   705.1  1107.1  2647.5  87095.6    87172
read      326.7   290.8    74.4   135.9   151.8   254.1   314.0   354.7   389.6   439.5   534.9   763.1  1555.4  3100.4  7439.2 108201.6   108181
