Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1777216183444
Timestamp end: 1777217983755

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      208.3    85.9    86.8   144.7   156.2   199.6   221.0   232.7   241.5   251.8   266.2   288.8   344.1   589.6  3213.6   6874.1     6927
read      248.4   101.7    80.4   127.6   141.4   242.6   288.7   309.6   323.3   339.5   360.1   391.8   465.0   674.9  3447.4  52898.3    52892
read      507.4   952.2    80.4   140.8   158.3   244.2   306.1   354.1   398.5   470.8   655.7  2395.7  5285.8  8274.5 10461.8  99032.0    98921
read      267.5   161.8    80.4   124.3   137.5   243.4   302.6   333.0   354.7   380.7   413.0   467.0   641.4  2031.5  4359.0  61175.6    61129
read      297.2   209.6    80.4   127.5   142.5   269.1   331.0   366.0   390.9   419.0   455.6   511.5   832.5  2912.4  6916.6  40633.5    40613
read      330.5   249.3    80.4   127.2   143.8   289.2   374.0   418.3   449.1   484.5   527.2   592.0  1082.5  3231.3  7143.5  53257.9    53226
read      324.5   277.2    80.4   131.9   149.1   288.7   361.1   399.7   426.1   457.3   498.4   567.2   959.8  3573.7  9178.0  38631.3    38560
read      694.6  1261.3    80.4   158.9   173.0   241.7   303.3   365.0   436.3   740.6  2251.8  3628.6  6352.5  8845.2 11580.8 103516.7   103465
read      282.1   235.4    80.4   130.2   144.5   237.4   292.3   324.4   349.9   383.5   432.1   526.4  1012.6  3199.3  7673.0 104656.4   104758
read      258.4   146.1    74.4   125.5   138.6   227.2   285.1   316.6   340.3   369.3   408.4   472.6   642.1  1619.8  3886.1  94814.8    94759
