Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1777729413013
Timestamp end: 1777730613304

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      254.8   137.7    93.8   154.0   169.9   238.9   266.5   281.3   292.9   308.9   332.5   374.6   625.9  1810.5  5463.0   6914.9     6927
read      297.1   176.6    86.8   142.0   157.1   274.3   326.4   354.0   373.8   399.6   435.6   512.7   796.9  2216.4  4944.6  52892.6    52892
read      395.9   385.2    86.8   153.2   173.1   309.0   380.3   428.2   468.9   529.9   632.3   871.6  2135.1  4109.5  7945.7  98995.7    98921
read      294.3   148.8    86.8   142.7   157.5   270.7   324.0   354.2   377.1   408.1   455.5   534.8   738.9  1322.2  4022.9  61076.4    61129
read      281.8   137.5    86.8   143.2   157.4   272.2   315.3   337.9   354.4   373.7   402.2   458.4   621.3  1506.3  3576.2  40572.5    40613
read      269.9   109.8    86.8   140.4   153.9   263.4   311.1   333.6   348.5   366.7   389.6   425.4   537.5  1003.7  2909.6  53333.5    53226
read      344.3   239.2    86.8   142.7   161.1   309.9   381.8   423.5   453.2   487.1   530.2   599.4   931.6  3270.2  7558.7  38633.7    38560
read      371.1   445.3    86.8   150.7   169.3   295.2   356.0   392.4   421.8   462.6   534.9   682.4  2643.2  6145.2  8051.6 103438.6   103465
read      315.7   180.1    86.8   150.3   168.1   284.5   340.8   373.2   398.3   430.3   478.7   583.1   866.5  2054.3  4632.1 104653.5   104758
read      294.7   175.1    86.8   142.7   158.4   266.4   320.9   351.3   373.2   399.9   436.8   522.2   804.9  2091.5  4811.0  94697.5    94759
read      289.3   140.4    86.8   144.4   159.9   280.2   325.5   348.9   366.3   387.0   414.0   462.2   640.4  1253.5  5173.2  37784.7    37799
read      253.8   110.8    93.8   150.2   165.6   244.7   272.8   288.7   299.9   315.3   336.1   370.6   537.8  1307.7  3379.5   8286.9     8296
read      335.1   485.9    86.8   137.7   151.7   261.1   315.4   343.8   364.2   388.2   421.2   497.0  2887.6  6388.9  8168.3  69411.7    69443
read      273.7   122.0    93.8   150.5   167.7   264.8   297.3   316.3   330.7   346.6   369.7   407.5   616.3  1510.9  3333.2  12551.8    12517
read      351.4   219.0    86.8   138.5   157.0   320.5   398.2   439.1   468.1   507.1   562.0   643.7   868.8  2809.1  6181.8  43613.6    43591
read      300.7   141.5    93.8   147.9   166.2   289.7   336.3   360.9   377.5   398.2   425.2   468.0   677.4  1708.6  3103.8  20453.7    20430
read      326.2   392.2    86.8   139.6   154.5   262.2   317.3   347.8   370.0   396.8   433.7   523.9  2393.9  4732.7  7999.4  93581.1    93758
read      280.7   169.6    93.8   166.6   183.9   271.0   302.2   319.4   333.4   348.6   369.4   402.6   509.1  1492.5  8115.0  10427.6    10485
read      295.0   107.9    93.8   158.8   176.9   289.8   331.3   354.0   369.8   388.6   411.2   446.3   531.2   849.5  3880.4  16469.9    16518
read      318.0   413.6    86.8   137.9   151.7   255.9   312.7   343.5   365.9   392.6   428.9   506.3  2435.9  6244.6  8018.7  83150.7    83230
read      242.0    98.9    93.8   155.3   168.0   231.0   256.3   272.1   283.3   295.2   313.5   345.2   466.8  1025.7  3158.4   5488.5     5484
read      313.1   186.6    86.8   140.8   155.3   281.1   342.7   378.9   405.5   440.2   490.5   594.6   921.4  1951.4  3970.6  55582.5    55611
read      306.0   139.3    93.8   154.0   172.4   294.9   342.5   368.4   386.8   406.9   434.1   478.9   650.1  1515.5  3718.2  20816.7    20774
read      349.9   438.7    86.8   143.7   160.1   273.9   333.5   368.0   394.2   427.4   477.8   607.1  2797.2  5413.7  8016.4  96812.5    96726
read      325.6   160.9    93.8   149.7   167.6   305.7   365.0   398.0   422.2   451.0   489.9   561.4   747.4  1768.3  4037.3  32409.1    32442
read      320.4   375.8    86.8   139.6   154.0   263.8   319.6   349.6   370.7   396.1   430.7   504.1  2159.1  4927.8  7919.0  72893.9    73039
read      278.9   154.9    86.8   138.7   152.4   258.0   313.6   342.6   362.9   385.9   415.2   463.8   682.1  1708.2  4816.5  74024.5    74055
read      285.7   147.4    86.8   136.7   150.2   268.4   322.7   352.6   373.5   398.6   431.6   487.7   683.7  1686.7  3992.2  51228.9    51197
read      285.1   147.2    86.8   134.4   147.8   264.6   323.2   356.6   380.1   407.9   444.0   502.8   672.8  1333.6  3778.0  59455.1    59442
read      324.3   218.4    86.8   139.0   156.2   301.2   364.0   396.9   420.6   448.1   484.2   546.4   764.0  3049.7  7191.3  35692.5    35654
read      340.9   458.1    80.4   138.7   153.1   264.8   321.8   352.4   373.7   399.8   436.3   537.0  2855.6  5444.6  8041.5  78792.7    78747
read      288.9   126.2    86.8   141.5   156.3   279.8   329.9   356.6   374.5   397.1   426.3   471.2   629.6  1032.7  2684.6  42212.9    42212
read      289.1   137.8    86.8   138.2   152.3   273.3   328.9   359.7   381.6   407.1   440.4   496.6   644.7  1157.9  3727.7  52485.6    52488
read      285.4   120.5    93.8   142.4   157.2   280.2   326.5   350.9   368.2   388.5   413.7   454.6   576.0   878.5  3173.3  36973.5    36950
read      282.4   118.3    93.8   148.1   165.3   276.3   314.4   335.6   350.5   368.0   391.2   428.1   571.0  1246.8  3199.2  16734.4    16762
read      342.2   391.3    86.8   136.6   150.7   265.6   333.4   376.3   411.7   457.4   524.1   654.3  2507.1  4779.3  7913.0  79434.0    79473
read      277.9   139.4    86.8   132.1   144.9   259.6   317.2   349.1   372.2   399.1   433.2   487.5   627.3  1087.6  4027.5  61494.5    61431
read      302.0   211.5    80.4   136.5   150.4   254.5   317.0   356.6   388.0   429.8   497.3   628.3   942.5  2412.1  6434.9  87096.5    87172
read      267.8   125.0    80.4   139.1   153.3   247.8   298.3   326.6   346.5   370.1   399.8   448.2   612.9  1139.2  2986.8 108355.9   108181
read      266.2   120.7    80.4   135.0   148.6   246.4   301.6   331.0   351.2   373.3   401.4   447.4   615.4   969.0  2982.3  80563.9    80515
read      319.9   170.7    80.4   139.0   156.1   299.8   363.5   397.3   421.7   450.2   488.3   552.3   734.7  2083.8  3911.5  37144.3    37149
read      270.8   105.5    93.8   148.7   165.7   265.2   298.8   317.8   332.2   347.8   369.9   403.2   515.2  1117.1  3560.1  13507.2    13444
read      331.5   463.2    86.8   138.1   152.2   260.3   314.9   343.7   364.0   387.8   419.7   486.1  2743.3  6132.9  8056.9  71886.8    72057
read      266.7   105.5    86.8   136.3   150.0   253.5   307.3   334.4   352.8   372.9   398.5   435.5   544.8   805.7  1943.3  70009.8    70041
read      266.8   124.1    86.8   136.6   150.5   249.1   302.4   330.8   350.6   372.8   400.8   443.5   569.0   950.2  3334.5  90196.1    90162
read      293.8   150.9    86.8   138.7   152.7   274.9   330.5   361.2   383.3   409.5   445.0   507.5   727.8  1694.6  3565.9  52102.6    52082
read      308.8   164.7    93.8   146.8   165.3   294.9   346.3   373.7   393.5   416.4   446.1   499.1   687.7  1613.7  7190.7  24221.9    24258
read      324.0   419.6    86.8   139.5   153.8   264.5   319.7   349.3   369.9   394.6   427.7   497.6  2514.0  6009.1  8007.8  72028.5    72013
read      286.0   134.7    86.8   139.8   154.1   269.5   324.2   353.2   373.0   397.5   429.4   485.6   668.9  1237.6  3441.5  57997.0    58012
read      287.8   135.3    86.8   140.7   155.2   277.0   328.6   356.4   375.4   398.8   428.9   475.5   611.6   975.8  3620.1  45417.9    45398
read      290.8   133.1    86.8   139.8   154.2   275.4   329.7   359.6   380.7   405.0   438.6   497.9   666.1  1251.5  2883.6  50247.3    50177
read      283.1   109.8    86.8   145.1   160.1   279.2   323.0   346.1   362.8   381.3   404.0   442.5   541.7   846.7  2774.6  34539.0    34504
read      290.3   157.7    86.8   137.4   151.4   266.0   324.1   358.2   383.7   414.8   456.5   527.5   682.0  1420.9  5557.8  66027.9    66010
read      298.0   167.5    86.8   139.0   153.5   267.2   327.6   364.1   392.1   427.0   474.2   559.0   743.4  1809.5  4112.8  74062.9    73937
read      289.4   133.2    86.8   138.4   152.5   271.9   328.3   359.6   382.3   408.9   444.8   504.4   654.0  1128.1  3152.2  54900.1    55020
read      292.3   145.5    86.8   139.0   153.2   274.3   330.8   361.9   384.6   411.3   447.4   508.7   667.7  1234.5  3451.3  53210.5    53235
read      312.8   295.0    86.8   142.3   158.0   267.2   322.5   354.2   377.0   404.7   445.9   534.3  1426.4  3655.5  7766.6  97717.1    97743
read      247.4   175.4   101.3   154.8   168.4   235.7   262.6   275.1   286.3   297.9   317.0   349.0   465.7  1232.3  8232.6   5426.2     5419
read      295.3   126.8   101.3   160.0   179.5   286.2   324.9   345.8   361.7   379.3   402.0   440.6   591.7  1480.2  3547.9  14787.7    14764
read      257.1    88.4   101.3   157.8   173.7   252.2   278.2   292.9   304.0   317.2   336.3   366.5   459.1   983.2  2102.1   7465.9     7451
read      305.6   190.7    86.8   140.2   154.3   279.7   338.7   371.8   396.5   427.1   468.8   546.9   746.8  2534.9  5959.5  48242.2    48208
read      291.1   106.8    93.8   155.2   173.9   283.4   323.2   344.9   361.4   379.7   402.9   442.9   571.9  1078.3  2599.4  16121.5    16149
read      330.6   412.1    86.8   140.7   155.6   266.6   322.6   353.2   374.7   401.3   439.1   534.7  2628.2  5336.3  7947.8  79105.3    78989
read      303.3   142.6    93.8   155.4   174.4   290.9   335.6   360.2   377.5   398.4   426.3   470.3   634.9  1616.6  4829.2  18876.0    18886
read      333.6   449.2    86.8   139.3   153.5   260.8   317.0   347.0   369.1   395.4   431.8   519.8  2835.0  5535.9  8036.1  75934.6    75954
read      299.4   152.2    86.8   143.5   158.4   280.8   335.0   365.1   387.2   413.6   450.5   518.9   706.1  1550.7  3415.1  44483.3    44409
read      322.8   282.5    93.8   152.3   171.2   285.2   329.1   353.8   372.4   397.2   433.7   554.4  1262.4  3892.0  8867.8  16457.4    16431
read      301.4   261.3    86.8   138.9   153.5   260.4   317.3   348.8   371.9   399.4   438.1   538.0  1028.5  3512.7  7845.8  85733.9    85707
read      272.8   114.3    86.8   139.5   153.5   262.2   313.1   338.1   355.2   373.8   398.5   435.4   573.1   949.3  3193.2  58387.7    58253
read      274.2   136.0    86.8   139.8   154.4   253.3   304.9   333.2   353.3   376.5   406.5   459.7   647.7  1566.0  3359.6 103822.3   103867
read      303.7   291.5    86.8   151.3   169.4   282.6   324.5   348.0   366.4   388.8   419.8   479.9   781.7  1999.3 16609.9  21593.3    21604
read      275.8   132.3    80.4   138.3   152.5   254.2   308.2   337.6   358.4   382.5   413.7   468.0   677.9  1333.9  3137.3  90290.6    90401
read      278.1   128.9    80.4   139.5   153.9   257.6   312.2   341.6   362.5   386.6   417.6   470.2   670.0  1158.2  3072.6  84444.5    84467
read      288.8   152.6    86.8   141.5   157.0   261.9   316.5   347.0   369.8   396.9   433.6   510.2   769.7  1709.9  3346.7  99681.8    99700
read      283.4   142.0    80.4   149.0   164.3   274.2   311.3   331.4   345.3   364.4   389.8   435.1   678.2  1512.1  4743.1  32057.4    32052
read      269.5    96.7    93.8   155.3   172.0   262.8   291.3   308.3   320.2   337.4   360.1   399.4   578.5   984.0  2248.9  18217.1    18173
read      278.3   138.1    86.8   138.2   152.2   259.8   313.2   340.5   359.8   381.9   410.8   464.7   697.0  1402.2  3293.1  67683.9    67789
read      275.8   114.6    86.8   140.8   155.2   267.1   315.1   338.5   354.7   372.9   397.5   436.0   608.6   955.0  2327.1  51911.3    51929
read      281.5   157.3    86.8   138.5   152.8   256.3   311.7   341.4   362.6   387.2   419.4   480.2   747.4  1790.1  3970.0  83853.1    83850
read      278.7   106.2    93.8   162.8   179.8   270.6   299.4   316.1   328.8   343.8   367.0   406.4   623.0  1240.5  3052.9  18654.1    18614

Total QPS = 53849.2 (64619052 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 15960906091 bytes :   12.7 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.83%,0.51%,100.00%
