Random waveform, supplied seed
Total number of intervals = 87 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881)
Average QPS expected = 53076
Timestamp start: 1778267346099
Timestamp end: 1778268646397

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      273.8   179.4    86.8   160.5   177.8   252.1   284.8   304.2   318.8   340.6   371.0   430.1   662.9  1876.5  8001.1   6916.0     6927
read      343.2   371.2    74.4   125.2   141.9   285.9   355.7   398.9   432.9   475.2   535.4   649.9  1491.2  5224.9 10306.5  52824.7    52892
read      319.4   292.1    74.4   133.3   150.7   271.6   329.4   363.2   389.5   424.6   479.9   605.0  1300.6  3865.3  7779.5  99198.1    98921
read      301.9   218.0    74.4   121.8   136.7   266.9   329.4   368.1   398.5   437.4   492.4   582.9   900.6  2786.3  7102.7  61092.5    61129
read      369.2   600.4    74.4   122.5   141.3   302.7   381.6   423.8   454.3   491.0   540.4   634.0  2062.4  7219.5 11964.3  40597.1    40613
read      347.4   481.7    80.4   127.0   143.8   286.8   358.3   402.2   437.7   482.9   543.7   660.1  1623.0  4686.9  9654.1  53233.8    53226
read      355.6   534.5    74.4   126.0   146.2   301.1   374.5   415.2   444.6   479.7   527.9   618.8  1704.0  5319.2 10262.4  38528.9    38560
read      350.4   317.9    74.4   140.3   160.0   290.5   352.3   391.7   424.3   469.3   544.3   714.0  1538.1  3735.2  7917.2 103481.7   103465
read      315.5   233.3    74.4   138.1   156.6   280.5   338.0   371.3   397.6   431.6   483.3   581.0   937.9  3136.1  7644.3 104925.3   104758
read      302.5   215.5    74.4   132.5   149.8   268.7   325.3   358.0   382.3   413.4   460.8   556.0   976.7  2677.2  7418.3  94734.9    94759
read      404.5   719.3    74.4   123.6   143.7   305.0   382.4   424.7   455.5   492.9   544.6   678.7  3297.3  7823.7 15071.1  37886.4    37799
read      244.2   134.0    80.4   143.6   161.9   231.5   260.2   276.0   288.9   303.8   323.8   362.9   513.9  1352.8  6863.3   8295.8     8296
read      302.6   235.2    74.4   123.5   138.4   257.3   322.2   365.9   400.4   445.9   506.4   605.3   950.1  2879.9  7637.6  69394.2    69443
read      265.0   156.4    80.4   147.1   167.2   255.9   291.4   310.7   324.2   342.2   364.3   396.8   471.4   907.5  8946.0  12523.5    12517
read      385.9   415.8    74.4   130.0   150.6   320.2   407.3   454.0   487.3   526.3   578.3   676.8  2336.0  5566.2  8103.1  43565.5    43591
read      311.4   403.8    80.4   143.4   167.9   295.1   349.1   377.3   397.8   422.8   456.6   513.0   690.0  1606.7  3472.2  20382.9    20430
