2026-05-10T10:40:44.616978 start scheduler
2026-05-10T10:42:08.215938 update_cores memcached [0,1,2]
2026-05-10T10:42:08.215978 start memcached [0, 1, 2] 3
2026-05-10T10:42:08.443852 start radix [3] 1
2026-05-10T10:42:08.744482 custom scheduler %5Bmonitor%5D+%5B%2751%25%27%2C+%2753%25%27%2C+%2750%25%27%2C+%27100%25%27%5D++memcached%3D154.4%25
2026-05-10T10:42:09.045025 custom scheduler %5Bmonitor%5D+%5B%2752%25%27%2C+%2754%25%27%2C+%2753%25%27%2C+%27100%25%27%5D++memcached%3D158.7%25
2026-05-10T10:42:09.345767 custom scheduler %5Bmonitor%5D+%5B%2753%25%27%2C+%2753%25%27%2C+%2748%25%27%2C+%27100%25%27%5D++memcached%3D154.2%25
2026-05-10T10:42:09.646506 custom scheduler %5Bmonitor%5D+%5B%2751%25%27%2C+%2749%25%27%2C+%2751%25%27%2C+%27100%25%27%5D++memcached%3D151.4%25
2026-05-10T10:42:09.949750 custom scheduler %5Bmonitor%5D+%5B%2753%25%27%2C+%2750%25%27%2C+%2754%25%27%2C+%27100%25%27%5D++memcached%3D157.0%25
2026-05-10T10:42:10.250567 custom scheduler %5Bmonitor%5D+%5B%2751%25%27%2C+%2750%25%27%2C+%2748%25%27%2C+%27100%25%27%5D++memcached%3D149.8%25
2026-05-10T10:42:10.551282 custom scheduler %5Bmonitor%5D+%5B%2753%25%27%2C+%2756%25%27%2C+%2754%25%27%2C+%27100%25%27%5D++memcached%3D162.6%25
2026-05-10T10:42:10.852007 custom scheduler %5Bmonitor%5D+%5B%2748%25%27%2C+%2747%25%27%2C+%2750%25%27%2C+%27100%25%27%5D++memcached%3D145.4%25
2026-05-10T10:42:11.152730 custom scheduler %5Bmonitor%5D+%5B%2751%25%27%2C+%2750%25%27%2C+%2751%25%27%2C+%27100%25%27%5D++memcached%3D152.9%25
2026-05-10T10:42:11.455723 custom scheduler %5Bmonitor%5D+%5B%2741%25%27%2C+%2741%25%27%2C+%2743%25%27%2C+%27100%25%27%5D++memcached%3D125.2%25
2026-05-10T10:42:11.479506 update_cores memcached [0,2]
2026-05-10T10:42:11.499999 pause radix
2026-05-10T10:42:11.683641 start barnes [1,3] 2
2026-05-10T10:42:11.984217 custom scheduler %5Bmonitor%5D+%5B%2751%25%27%2C+%2765%25%27%2C+%2753%25%27%2C+%2756%25%27%5D++memcached%3D104.2%25
2026-05-10T10:42:12.285097 custom scheduler %5Bmonitor%5D+%5B%2753%25%27%2C+%2780%25%27%2C+%2754%25%27%2C+%2739%25%27%5D++memcached%3D106.8%25
2026-05-10T10:42:12.586025 custom scheduler %5Bmonitor%5D+%5B%2755%25%27%2C+%27100%25%27%2C+%2753%25%27%2C+%274%25%27%5D++memcached%3D108.0%25
2026-05-10T10:42:12.886920 custom scheduler %5Bmonitor%5D+%5B%2753%25%27%2C+%27100%25%27%2C+%2755%25%27%2C+%277%25%27%5D++memcached%3D108.0%25
2026-05-10T10:42:13.187697 custom scheduler %5Bmonitor%5D+%5B%2754%25%27%2C+%27100%25%27%2C+%2757%25%27%2C+%2761%25%27%5D++memcached%3D110.8%25
2026-05-10T10:42:13.490717 custom scheduler %5Bmonitor%5D+%5B%2753%25%27%2C+%27100%25%27%2C+%2750%25%27%2C+%27100%25%27%5D++memcached%3D102.8%25
