Random waveform, supplied seed
Total number of intervals = 90 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694)
Average QPS expected = 53249
Timestamp start: 1778409640786
Timestamp end: 1778410991094

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      241.2   126.4    86.8   160.7   172.0   227.8   253.1   268.5   279.5   293.1   311.9   342.7   446.6  1610.5  6312.1   6874.2     6927
read      275.1   146.8    74.4   132.9   149.2   259.7   308.6   333.7   351.4   372.6   402.1   457.7   630.8  1816.1  3848.1  52767.5    52892
read      298.0   233.5    74.4   132.3   148.4   252.7   308.2   339.9   364.4   396.8   451.4   577.6  1176.6  2778.9  7122.0  98669.5    98921
read      285.6   148.4    74.4   132.7   148.8   262.7   317.0   346.8   370.0   400.4   446.3   520.3   689.9  1546.2  3206.9  61201.3    61129
read      270.8   111.6    80.4   137.5   154.4   263.6   305.8   327.7   343.4   363.0   388.3   430.4   541.8  1104.2  2658.9  40515.1    40613
read      263.9   114.0    80.4   131.9   147.6   255.3   303.8   327.5   343.7   363.3   387.6   425.1   507.7   833.4  3169.3  53328.6    53226
read      281.9   143.2    80.4   135.2   151.8   271.8   320.6   346.6   366.1   389.2   419.0   464.8   560.5  1000.2  6394.1  38560.5    38560
read      261.4   135.9    80.4   130.9   145.7   239.7   289.8   317.0   336.9   360.0   390.2   442.5   610.5  1585.5  3804.9 103578.3   103465
read      256.9   110.6    74.4   130.6   145.3   238.8   288.5   315.6   335.2   358.0   387.3   435.0   550.4   989.4  2578.4 104790.4   104758
read      262.1   124.7    74.4   130.8   145.6   242.8   294.5   322.3   342.4   366.0   396.8   450.0   577.6  1066.5  2959.5  94634.5    94759
read      276.6   131.3    80.4   134.3   150.5   267.2   312.2   337.0   355.2   376.5   407.8   458.1   552.5  1106.7  3913.4  37814.7    37799
read      244.7   124.1    86.8   153.7   167.3   231.2   259.1   274.8   287.6   301.8   320.4   354.8   467.3  1647.0  4958.6   8299.1     8296
read      259.1   110.7    74.4   129.0   143.0   243.3   297.1   323.4   341.8   363.3   390.6   434.9   547.1   867.2  2125.2  69457.2    69443
read      263.1   102.6    86.8   151.2   169.5   253.5   288.4   307.8   321.1   339.0   362.1   398.5   493.9   962.4  2589.4  12513.5    12517
read      275.4   141.6    80.4   131.9   147.4   263.5   311.5   337.8   357.5   381.3   414.6   466.0   568.4   926.7  4788.6  43515.3    43591
read      285.5   155.3    80.4   143.1   164.1   272.6   316.4   340.6   358.8   380.4   410.0   458.3   571.8  1331.9  4703.5  20432.2    20430
read      265.7   221.5    74.4   127.8   141.8   237.4   289.0   316.4   335.8   358.1   386.8   434.3   615.3  3562.4  7158.6  93804.5    93758
read      259.6   176.9    86.8   155.2   173.6   246.0   276.1   293.5   306.6   321.0   342.3   375.5   479.4  1819.0  7954.7  10487.3    10485
read      276.2    94.2    86.8   152.1   174.1   270.6   306.6   326.0   340.4   357.8   379.2   415.8   501.1   691.4  2999.9  16487.7    16518
read      271.4   202.1    80.4   131.0   145.7   245.5   297.4   325.0   344.0   366.6   395.3   444.4   620.1  3055.9  6129.7  83235.7    83230
read      241.2    86.7    93.8   158.3   172.5   229.7   256.4   272.0   284.1   297.4   317.5   347.9   436.2   952.2  2423.9   5493.6     5484
read      267.3   131.5    74.4   131.7   146.8   254.3   304.4   328.9   345.6   366.3   392.9   434.7   571.6  1396.5  4185.1  55616.3    55611
read      290.4   117.9    80.4   151.6   173.2   279.5   322.9   346.9   365.2   386.7   415.2   461.2   558.7  1005.0  3068.4  20735.5    20774
read      275.7   248.0    80.4   131.4   145.9   243.5   294.6   322.2   342.0   365.4   395.9   452.4   690.9  3660.9  7739.7  96504.1    96726
read      274.6   103.8    80.4   141.0   158.0   267.5   310.4   333.6   350.0   370.1   395.8   434.8   523.2   734.8  2502.3  32455.0    32442
read      263.5   126.1    74.4   129.3   143.6   244.7   299.4   327.6   347.0   370.6   399.6   447.7   581.6  1028.7  3650.5  72943.3    73039
read      258.7   108.2    80.4   129.3   143.4   242.1   296.3   324.4   343.6   366.3   393.8   434.5   533.4   740.2  2585.9  73959.4    74055
read      267.0   107.1    80.4   134.7   150.2   258.7   307.5   331.9   348.3   368.3   393.1   429.5   506.9   674.9  2721.4  51228.3    51197
read      262.8   106.4    80.4   131.9   146.8   251.4   303.3   328.5   345.6   366.4   391.7   429.0   513.5   683.0  2728.9  59268.7    59442
read      282.6   138.7    80.4   140.8   158.0   271.8   317.8   342.8   361.3   382.8   411.1   459.8   576.8  1017.8  4373.8  35765.9    35654
read      260.6   128.3    80.4   127.9   141.8   240.3   295.5   324.3   344.4   367.5   396.4   443.8   582.3  1101.3  4202.1  78645.6    78747
read      273.6   122.5    74.4   132.4   148.0   262.8   312.4   339.3   358.7   380.7   408.6   454.5   547.2   821.9  3878.1  42126.3    42212
read      272.7   120.4    80.4   127.9   142.2   257.7   312.2   342.2   364.2   389.6   422.5   474.6   580.3   864.9  2863.1  52465.9    52488
read      271.1   115.5    80.4   133.6   149.9   262.4   309.0   333.9   351.4   372.1   398.6   437.0   529.3   861.0  3097.6  36952.3    36950
read      281.7   123.1    80.4   148.6   169.5   273.7   314.5   336.4   351.7   369.6   393.3   429.1   518.6  1321.5  2981.4  16783.7    16762
read      273.4   252.8    80.4   128.2   142.2   241.4   294.7   322.8   342.3   365.1   393.7   437.4   633.0  3824.0  7582.5  79449.5    79473
read      262.1   103.8    74.4   130.0   144.8   250.6   303.4   329.9   347.3   368.1   393.5   430.3   508.6   674.5  2448.7  61286.5    61431
read      254.7   112.0    74.4   126.9   140.8   236.8   289.5   317.5   337.4   360.0   388.0   429.5   540.3   919.4  2581.8  87218.7    87172
read      254.8   124.4    74.4   128.9   143.1   235.9   285.4   312.4   331.7   354.1   382.6   427.1   555.9  1188.2  3791.6 108183.5   108181
read      253.7   118.7    80.4   126.7   140.6   236.7   290.0   317.9   337.4   359.6   386.8   426.8   522.0   758.8  2666.3  80517.2    80515
read      269.7   104.9    74.4   134.5   150.7   261.7   308.4   332.9   350.1   370.4   396.1   433.6   518.2   759.9  2080.6  37232.1    37149
read      270.2   106.3    86.8   152.8   171.4   261.2   297.8   317.5   332.4   348.8   371.4   405.9   502.4  1179.7  3076.4  13439.3    13444
read      277.7   269.1    74.4   128.4   142.6   243.9   297.7   324.5   342.7   364.2   391.1   432.9   814.7  3887.6  7652.8  71958.5    72057
read      257.0   120.5    80.4   128.7   142.8   243.0   296.0   322.1   340.1   360.7   385.8   423.2   506.3   758.4  3365.6  70153.0    70041
read      251.3   109.1    74.4   127.0   140.7   234.2   285.9   313.6   332.8   354.6   381.5   421.7   514.3   828.5  2806.4  90119.3    90162
read      265.4   105.1    74.4   132.8   148.5   257.7   306.8   330.8   346.7   366.4   390.7   426.1   501.8   705.6  2749.4  52176.5    52082
read      263.0    94.1    80.4   142.7   160.7   258.0   294.4   314.4   328.8   345.3   367.8   400.7   471.1   804.8  2424.8  24300.2    24258
read      279.1   158.7    74.4   126.5   140.3   252.8   313.7   347.5   373.2   403.7   446.7   516.6   678.4  1537.4  4144.3  71989.3    72013
read      271.7   135.6    74.4   126.0   139.9   255.9   311.1   341.2   363.5   389.5   422.6   475.5   585.4  1026.1  4070.3  58074.1    58012
read      268.6   116.7    80.4   129.4   144.2   257.5   307.0   333.8   353.1   375.4   403.6   449.0   543.9   932.0  3055.2  45361.4    45398
read      271.1   115.1    80.4   128.9   143.4   258.8   311.1   339.7   360.7   384.9   415.2   462.0   556.7   824.4  2678.8  50227.4    50177
read      276.0   129.5    80.4   138.2   154.8   266.8   312.0   336.7   354.4   374.7   401.3   442.6   540.9   935.0  4407.1  34536.9    34504
read      289.8   144.9    74.4   130.7   145.2   262.1   324.2   360.9   388.8   424.0   476.1   550.9   714.1  1122.5  2838.5  66029.5    66010
read      258.9   122.8    74.4   128.7   142.6   241.8   295.0   322.6   341.9   364.2   392.1   433.2   544.4   921.6  3630.2  74020.1    73937
read      265.6   104.3    74.4   133.3   148.7   255.9   306.7   331.9   348.8   369.0   394.1   430.7   509.0   687.6  2446.9  55089.7    55020
read      265.9   103.6    80.4   133.8   149.2   256.9   306.9   331.7   348.5   368.6   393.4   429.5   506.9   679.0  2488.2  53414.1    53235
read      258.2   126.3    74.4   129.6   143.9   239.2   289.7   317.0   336.7   359.7   388.7   433.4   570.2  1172.3  3665.2  97593.8    97743
read      242.8    87.3    93.8   161.8   173.3   230.9   259.3   275.0   287.6   301.8   320.2   352.3   442.5   895.6  2451.2   5470.9     5419
read      284.6    97.5    86.8   157.3   176.8   277.2   317.1   339.0   354.6   372.2   396.5   433.0   530.1   928.8  1823.2  14763.8    14764
read      250.8    96.0    80.4   161.6   174.2   239.8   270.4   287.6   299.7   314.9   335.0   367.1   452.2   908.9  3467.2   7515.3     7451
read      282.9   127.6    80.4   132.4   148.0   268.0   322.8   353.0   374.2   399.8   432.2   487.9   603.1  1044.4  2948.1  48161.6    48208
read      292.7   107.6    80.4   157.4   177.4   284.0   327.1   349.7   366.8   386.7   411.4   451.6   559.4  1069.9  2410.4  16058.5    16149
read      270.7   229.4    80.4   128.8   142.9   242.0   295.9   324.4   344.3   367.8   396.9   442.0   590.3  3671.9  7449.1  78998.9    78989
read      298.9   133.0    80.4   153.5   174.7   289.1   335.0   359.8   377.1   397.8   424.7   466.4   575.5  1216.2  4983.3  18868.1    18886
read      280.0   279.9    74.4   128.6   142.9   244.3   298.4   326.8   346.3   369.6   398.8   445.4   713.6  4115.0  7647.1  76008.4    75954
read      282.5   120.7    80.4   135.4   151.3   270.4   322.0   350.4   370.8   395.1   426.3   477.4   584.6   833.8  2760.4  44439.8    44409
read      291.3   106.5    86.8   156.5   176.6   283.7   325.9   348.7   365.6   385.2   409.2   448.9   545.6   902.0  3002.0  16435.6    16431
read      273.3   254.8    80.4   128.4   142.4   239.9   293.2   321.7   342.2   366.3   396.4   443.8   652.9  3968.3  7381.0  85676.6    85707
read      264.7   101.7    80.4   131.9   146.9   253.6   306.3   332.6   350.6   371.3   396.9   433.6   509.4   654.0  1844.2  58309.3    58253
read      258.3   118.5    80.4   130.5   145.1   239.5   289.5   316.9   336.6   359.5   388.8   433.3   567.2  1135.8  3283.5 103789.7   103867
read      305.1   130.6    80.4   150.5   172.5   294.4   343.4   370.1   389.4   411.5   440.0   490.3   605.2  1176.8  2906.5  21595.1    21604
read      276.0   262.4    74.4   129.3   143.7   241.9   294.3   322.3   342.6   366.5   396.9   448.5   704.2  4003.0  7708.1  90359.0    90401
read      254.4   108.2    74.4   128.0   141.8   237.7   289.7   317.3   337.0   359.3   386.8   427.7   529.4   826.6  2715.4  84335.5    84467
read      259.1   150.5    74.4   128.6   142.8   237.9   288.1   315.2   335.0   358.0   387.3   432.4   591.7  1749.9  4355.4  99648.5    99700
read      278.8   141.7    80.4   140.2   157.4   268.4   313.3   337.4   354.5   373.5   398.9   436.1   534.4  1859.6  4548.5  31984.0    32052
read      280.9   160.1    80.4   151.0   169.8   268.4   307.7   329.1   344.4   363.9   388.2   426.1   534.9  2114.5  7421.7  18154.3    18173
read      273.3   171.2    74.4   128.8   143.6   250.3   304.4   332.3   351.7   374.0   402.6   450.7   712.1  2333.8  4338.6  67844.9    67789
read      267.0   121.3    80.4   131.6   147.4   258.4   307.4   331.8   348.3   368.5   393.3   429.8   514.3   848.4  3233.1  51970.4    51929
read      254.5   104.1    74.4   125.9   140.3   239.5   291.9   319.4   338.8   361.1   388.5   428.6   519.2   685.4  1708.8  83864.4    83850
