,timestamp,event,job,cores,timestamp_ms,timestamp_ms_norm_ms,timestamp_ms_norm_s
0,2026-05-10 10:42:08.215938,update_cores,memcached,"[0,1,2]",1778409728215,0,0.0
1,2026-05-10 10:42:08.215978,start,memcached,"[0, 1, 2]",1778409728215,0,0.0
2,2026-05-10 10:42:08.443852,start,radix,[3],1778409728443,228,0.228
3,2026-05-10 10:42:11.479506,update_cores,memcached,"[0,2]",1778409731479,3264,3.264
4,2026-05-10 10:42:11.499999,pause,radix,,1778409731499,3284,3.284
5,2026-05-10 10:42:11.683641,start,barnes,"[1,3]",1778409731683,3468,3.468
6,2026-05-10 10:42:26.456025,update_cores,memcached,"[0,1,2]",1778409746456,18241,18.241
7,2026-05-10 10:42:26.499520,unpause,radix,,1778409746499,18284,18.284
8,2026-05-10 10:42:26.544397,pause,barnes,,1778409746544,18329,18.329
9,2026-05-10 10:43:11.167473,end,radix,,1778409791167,62952,62.952
10,2026-05-10 10:43:11.381905,start,blackscholes,[3],1778409791381,63166,63.166
11,2026-05-10 10:43:11.708265,update_cores,memcached,"[0,2]",1778409791708,63493,63.493
12,2026-05-10 10:43:11.730825,unpause,barnes,,1778409791730,63515,63.515
13,2026-05-10 10:43:11.760901,pause,blackscholes,,1778409791760,63545,63.545
14,2026-05-10 10:43:26.535622,update_cores,memcached,[0],1778409806535,78320,78.32
15,2026-05-10 10:43:26.555625,unpause,blackscholes,,1778409806555,78340,78.34
16,2026-05-10 10:43:26.572623,update_cores,blackscholes,[2],1778409806572,78357,78.357
17,2026-05-10 10:43:32.307872,update_cores,memcached,"[0,1,3]",1778409812307,84092,84.092
18,2026-05-10 10:43:32.340672,pause,barnes,,1778409812340,84125,84.125
19,2026-05-10 10:43:32.655194,update_cores,memcached,"[0,3]",1778409812655,84440,84.44
20,2026-05-10 10:43:32.674398,unpause,barnes,,1778409812674,84459,84.459
21,2026-05-10 10:43:32.691040,update_cores,barnes,"[1,2]",1778409812691,84476,84.476
22,2026-05-10 10:43:32.717827,pause,blackscholes,,1778409812717,84502,84.502
23,2026-05-10 10:43:33.033908,update_cores,memcached,[0],1778409813033,84818,84.818
24,2026-05-10 10:43:33.050624,unpause,blackscholes,,1778409813050,84835,84.835
25,2026-05-10 10:43:33.067800,update_cores,blackscholes,[3],1778409813067,84852,84.852
26,2026-05-10 10:43:37.904830,update_cores,memcached,"[0,3]",1778409817904,89689,89.689
27,2026-05-10 10:43:38.488585,pause,blackscholes,,1778409818488,90273,90.273
28,2026-05-10 10:43:41.515999,update_cores,memcached,"[0,1,3]",1778409821515,93300,93.3
29,2026-05-10 10:43:41.998832,pause,barnes,,1778409821998,93783,93.783
30,2026-05-10 10:43:42.627084,unpause,blackscholes,,1778409822627,94412,94.412
31,2026-05-10 10:43:42.655650,update_cores,blackscholes,[2],1778409822655,94440,94.44
32,2026-05-10 10:43:56.213198,update_cores,memcached,"[0,3]",1778409836213,107998,107.998
33,2026-05-10 10:43:56.231074,unpause,barnes,,1778409836231,108016,108.016
34,2026-05-10 10:43:56.257561,pause,blackscholes,,1778409836257,108042,108.042
35,2026-05-10 10:43:56.572258,update_cores,memcached,[0],1778409836572,108357,108.357
36,2026-05-10 10:43:56.588642,unpause,blackscholes,,1778409836588,108373,108.373
37,2026-05-10 10:43:56.604646,update_cores,blackscholes,[3],1778409836604,108389,108.389
38,2026-05-10 10:44:11.373727,update_cores,memcached,"[0,3]",1778409851373,123158,123.158
39,2026-05-10 10:44:11.412624,pause,blackscholes,,1778409851412,123197,123.197
40,2026-05-10 10:44:27.676974,update_cores,memcached,[0],1778409867676,139461,139.461
41,2026-05-10 10:44:27.699849,unpause,blackscholes,,1778409867699,139484,139.484
42,2026-05-10 10:44:36.730005,end,barnes,,1778409876730,148515,148.515
43,2026-05-10 10:44:36.746910,update_cores,blackscholes,"[1,2,3]",1778409876746,148531,148.531
44,2026-05-10 10:44:41.282704,update_cores,memcached,"[0,1]",1778409881282,153067,153.067
45,2026-05-10 10:44:41.302221,update_cores,blackscholes,"[2,3]",1778409881302,153087,153.087
46,2026-05-10 10:44:41.622548,update_cores,memcached,"[0,1,2]",1778409881622,153407,153.407
47,2026-05-10 10:44:41.642650,update_cores,blackscholes,[3],1778409881642,153427,153.427
48,2026-05-10 10:44:56.422622,update_cores,memcached,"[0,2]",1778409896422,168207,168.207
49,2026-05-10 10:44:56.439545,update_cores,blackscholes,"[1,3]",1778409896439,168224,168.224
50,2026-05-10 10:44:56.758312,update_cores,memcached,[0],1778409896758,168543,168.543
51,2026-05-10 10:44:56.775295,update_cores,blackscholes,"[1,2,3]",1778409896775,168560,168.56
52,2026-05-10 10:45:06.096747,end,blackscholes,,1778409906096,177881,177.881
53,2026-05-10 10:45:07.935085,start,canneal,"[1,2,3]",1778409907935,179720,179.72
54,2026-05-10 10:45:26.303026,update_cores,memcached,"[0,1]",1778409926303,198088,198.088
55,2026-05-10 10:45:26.327048,update_cores,canneal,"[2,3]",1778409926327,198112,198.112
56,2026-05-10 10:45:26.649697,update_cores,memcached,"[0,1,2]",1778409926649,198434,198.434
57,2026-05-10 10:45:26.670623,update_cores,canneal,[3],1778409926670,198455,198.455
58,2026-05-10 10:45:41.449802,update_cores,memcached,"[0,2]",1778409941449,213234,213.234
59,2026-05-10 10:45:41.470480,update_cores,canneal,"[1,3]",1778409941470,213255,213.255
60,2026-05-10 10:45:41.785062,update_cores,memcached,[0],1778409941785,213570,213.57
61,2026-05-10 10:45:41.798005,update_cores,canneal,"[1,2,3]",1778409941798,213583,213.583
62,2026-05-10 10:45:56.580335,update_cores,memcached,"[0,1,3]",1778409956580,228365,228.365
63,2026-05-10 10:45:56.596154,update_cores,canneal,[2],1778409956596,228381,228.381
