Random waveform, supplied seed
Total number of intervals = 320 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072)
Average QPS expected = 57359
Timestamp start: 1777733876110
Timestamp end: 1777735476484

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      207.8    59.8    86.8   134.1   145.0   200.8   224.3   237.0   248.1   260.9   276.9   306.6   383.1   515.1  1041.7   6883.6     6927
read      336.6   249.3    74.4   124.3   141.3   292.7   379.9   426.4   458.0   494.8   543.1   631.0  1082.7  3212.9  7004.8  52847.2    52892
read      995.1  1338.6    80.4   180.6   205.4   342.5   477.9  1353.5  1775.0  2604.7  2932.0  3808.0  6201.8  8086.6 10355.1  98763.0    98921
read      891.5  1181.0    80.4   169.6   191.9   316.0   459.2  1225.8  1593.7  2201.6  2647.2  3184.5  5156.8  8037.0  9845.5  61119.4    61129
read      491.4   667.8    74.4   133.8   151.7   284.5   387.1   467.2   561.2   739.0  1044.8  1716.1  2882.1  7868.0  9990.5  40588.8    40613
read      394.2   415.1    74.4   130.8   149.7   315.2   415.3   468.9   507.5   555.1   623.5   763.6  2185.7  5326.6  8938.5  53356.4    53226
read      289.7   124.5    74.4   123.0   139.4   278.3   341.0   376.3   398.8   424.3   455.1   498.9   585.7   734.3  1153.9  38709.2    38560
read     1004.2  1298.1    86.8   182.9   208.8   348.8   484.9  1427.6  1868.5  2644.2  2949.2  3738.6  5443.7  8012.2 10054.5 103299.6   103465
read      985.4  1274.3    80.4   178.6   204.6   342.2   478.3  1435.5  1778.6  2578.0  2855.0  3758.6  5384.3  7949.5  9609.6 104853.8   104758
read     1042.4  1340.9    86.8   183.8   210.5   363.0   514.3  1522.3  1917.4  2648.9  2946.0  3899.5  5843.4  7994.0  9839.1  94857.0    94759
read      918.8  1320.7    86.8   163.1   184.0   320.7   470.7   931.8  1525.5  2113.8  2736.6  3620.5  6982.2  8116.3 10505.8  37835.0    37799
read     1085.6  1710.4    86.8   155.2   176.8   345.5   585.6  1203.1  1592.0  2216.0  2824.9  4589.8  7985.9  9918.8 13763.0   8360.2     8296
read      776.1  1129.1    74.4   151.8   172.2   301.0   399.0   535.5  1137.0  1668.6  2546.6  2995.7  5163.4  8028.1 10012.4  69240.2    69443
read      269.1   268.4    74.4   133.6   148.6   231.9   270.8   292.9   309.4   329.1   357.0   421.5  1269.1  3153.7  8029.2  12564.0    12517
read      293.6   133.6    74.4   122.4   138.6   281.3   345.5   379.6   403.6   432.5   465.2   509.4   594.3   881.3  3282.9  43334.6    43591
read      266.7    93.4    80.4   135.5   151.9   263.1   305.1   325.8   340.9   358.5   379.7   412.9   486.8   608.5  2306.1  20373.8    20430
read      856.3  1193.2    80.4   168.2   192.9   310.3   399.9   564.3  1458.6  2158.2  2753.0  3368.7  5241.2  7971.9  9683.7  93963.4    93758
read      319.6   634.8    86.8   142.0   156.2   235.5   271.9   293.7   310.5   330.9   360.7   435.9  2525.8  8028.9 10059.3  10550.4    10485
read      271.7   102.0    86.8   138.7   155.5   263.7   306.3   328.7   344.3   363.4   387.1   425.5   531.0   968.4  2354.6  16481.4    16518
read      443.0   712.4    80.4   130.7   146.7   267.5   332.7   372.0   404.5   455.1   549.2  1687.3  3890.8  7478.7  8441.3  83503.6    83230
read      214.2    79.4    93.8   138.1   147.3   204.8   230.3   244.9   255.0   268.4   286.4   317.4   410.9   896.6  2139.7   5474.0     5484
read      352.4   303.9    74.4   124.6   141.1   294.9   387.7   442.3   482.2   526.4   580.9   673.7  1283.7  4400.0  7689.1  55270.2    55611
read      286.7   128.9    86.8   136.6   154.1   277.3   326.1   351.2   368.8   390.3   417.5   460.1   570.7  1392.7  2357.0  20850.8    20774
read      419.2   641.5    80.4   136.2   153.1   272.9   335.3   370.7   398.3   435.2   505.9  1436.7  3469.3  7316.4  9509.5  96780.2    96726
read      304.2   161.6    80.4   131.1   147.5   285.4   345.2   379.4   403.5   432.8   471.1   525.9   641.0  1865.1  4066.6  32365.4    32442
read      430.7   685.6    80.4   126.9   141.7   268.4   333.4   374.2   408.1   458.0   541.8  1538.3  3811.6  7560.5  9561.8  72944.0    73039
read      274.0   153.8    74.4   120.5   132.9   246.6   309.2   345.0   373.6   409.1   458.6   529.7   672.5  1372.1  4154.0  73951.8    74055
read      270.0   143.7    74.4   121.3   134.0   257.0   308.6   338.5   361.1   387.3   420.5   471.5   588.9  1540.3  3997.0  51399.6    51197
read      279.0   129.6    74.4   125.5   139.2   263.2   320.5   354.9   379.8   409.5   448.5   508.2   620.5   799.9  1531.1  59459.8    59442
read      321.5   270.8    80.4   130.9   147.6   291.1   352.2   386.2   409.9   438.3   479.0   540.0  1015.3  3692.5  8074.8  35554.8    35654
read      509.0   817.5    80.4   135.5   153.5   289.6   359.6   403.6   444.4   508.5   682.3  2461.4  4154.4  7852.7 12333.8  78765.4    78747
read      329.0   343.6    80.4   125.2   141.6   289.4   360.9   399.4   427.7   461.5   502.7   564.6  1058.1  5019.1 11140.5  42178.6    42212
read      354.4   474.4    80.4   125.5   141.7   282.1   355.8   398.6   432.3   474.6   528.4   620.4  2070.3  7714.1 10178.4  52578.4    52488
read      328.6   431.8    74.4   126.9   143.0   280.2   344.3   380.3   405.0   437.9   480.5   547.3  1267.3  7537.5 13436.9  36974.4    36950
read      254.2   138.1    86.8   130.5   145.1   240.5   278.7   300.5   316.1   334.6   358.4   396.0   535.2  2029.9  3541.5  16545.8    16762
read      485.7   786.8    80.4   129.5   145.9   270.0   336.0   377.0   413.8   471.7   640.5  2316.6  4040.9  7687.1  8578.9  79479.4    79473
read      326.9   268.6    74.4   122.8   137.2   263.9   344.0   396.4   439.3   490.5   559.1   684.1  1317.9  3012.4  6777.6  61427.6    61431
read      408.3   621.0    80.4   128.3   143.3   260.0   325.3   365.5   400.0   456.3   559.0  1334.9  3328.7  6925.7  8114.9  87085.8    87172
read      281.9   214.9    74.4   127.7   141.7   234.4   289.4   320.4   343.3   371.3   414.7   558.3  1222.9  2287.1  4906.1 107950.4   108181
read      275.3   164.2    80.4   122.2   135.2   235.9   301.5   339.4   369.8   412.5   469.1   552.2   731.7  1820.3  3425.6  80620.2    80515
read      304.9   202.6    80.4   121.5   137.9   282.8   347.9   385.1   411.7   440.0   473.8   527.6   700.0  2604.9  6797.1  37000.8    37149
read      249.8   130.2    80.4   134.3   149.6   239.4   276.5   295.7   309.9   325.6   346.3   382.5   489.5  1579.0  3670.7  13421.8    13444
read      478.1   739.1    74.4   128.1   143.8   269.0   337.4   385.2   429.2   497.8   769.4  2104.1  3854.4  7541.9  8135.5  71980.2    72057
read      263.2   132.4    80.4   118.7   130.6   236.1   299.3   334.1   361.2   396.3   440.7   503.5   623.9   887.7  2530.2  69873.6    70041
read      289.0   190.3    74.4   124.2   137.8   236.7   304.5   346.9   386.9   440.8   510.5   622.2   914.0  1740.5  3415.8  90318.8    90162
read      310.3   179.4    80.4   121.9   137.8   282.3   358.9   403.7   434.9   468.5   510.0   573.1   729.8  2074.6  3969.2  52111.2    52082
read      291.5   141.1    80.4   134.7   152.0   281.5   335.0   364.4   386.0   410.4   438.7   479.0   559.4   946.3  6156.2  24370.2    24258
read      500.3   674.4    80.4   133.5   150.5   277.2   360.8   433.7   516.1   720.3  1209.7  1912.8  3165.8  7409.3  8129.3  71696.2    72013
read      306.1   151.3    68.9   125.3   141.1   279.9   356.9   402.3   432.8   466.6   506.1   563.8   684.5  1084.5  2715.4  57966.4    58012
read      297.9   136.7    74.4   124.5   140.7   284.0   350.4   387.3   413.4   441.3   473.1   521.2   612.8   793.7  3150.3  45367.8    45398
read      303.1   133.6    74.4   125.2   141.4   286.7   358.2   398.8   426.2   455.6   490.1   537.6   627.3   789.9  1380.1  50119.0    50177
read      311.1   148.1    80.4   131.1   148.2   296.2   362.6   400.4   426.0   454.0   488.2   537.6   634.4  1472.3  3326.6  34539.8    34504
read      416.1   652.7    80.4   130.5   145.9   272.8   336.8   375.0   408.2   452.0   518.0  1310.0  3840.6  7159.3  8089.9  65955.0    66010
read      283.6   147.6    80.4   128.3   142.0   252.7   317.1   353.9   383.5   422.1   471.1   547.7   705.2  1079.8  3140.2  73685.8    73937
read      313.9   185.6    74.4   128.0   143.5   278.0   347.9   392.2   426.4   466.4   521.0   614.3   901.0  1642.2  3700.7  54992.2    55020
read      335.2   186.8    74.4   126.8   144.0   301.8   392.3   441.5   473.2   509.9   556.5   627.9   825.9  1810.4  3409.8  53386.4    53235
read      328.5   431.1    80.4   129.9   145.0   247.3   306.5   339.6   364.4   396.1   444.9   576.2  2711.1  5255.1  8000.4  97817.8    97743
read      214.5    99.2    93.8   143.5   153.1   202.2   226.0   239.5   250.9   265.4   284.4   316.1   399.3   991.6  2533.4   5362.0     5419
read      268.6    99.4    93.8   143.2   159.8   260.2   301.6   322.7   338.6   356.9   379.6   417.8   503.8  1078.6  2248.4  14684.6    14764
read      232.1    88.1    93.8   144.3   156.5   221.4   250.8   268.3   281.0   295.5   315.5   346.7   432.0   948.9  2169.6   7483.2     7451
read      337.6   197.8    80.4   127.9   145.0   306.5   397.5   445.2   475.8   509.7   551.2   616.3   793.4  2440.9  3998.7  48085.2    48208
read      275.6   109.5    86.8   143.1   160.7   267.5   310.5   333.0   348.4   367.6   393.5   432.1   526.4  1138.3  2368.4  16167.2    16149
read      491.3   783.2    80.4   134.5   151.6   284.4   356.7   403.9   447.3   510.7   658.6  2246.6  4197.5  7699.2  9326.4  78933.0    78989
read      282.9   131.2    80.4   141.9   159.1   272.0   317.6   342.2   360.0   380.4   407.6   451.6   552.3  1654.4  2761.5  18931.2    18886
read      532.6   839.6    80.4   138.0   156.6   297.3   371.2   423.5   470.0   546.2   747.4  2599.2  4394.8  7710.8  9156.9  75937.0    75954
read      320.2   173.2    80.4   128.0   144.1   294.6   372.0   418.1   448.8   481.9   522.6   581.8   719.3  1692.4  4267.6  44375.0    44409
read      278.6   111.2    86.8   144.9   162.3   271.0   314.6   337.2   353.2   371.4   397.1   435.5   527.8  1160.2  3324.1  16443.2    16431
read      440.2   681.1    74.4   133.0   149.8   272.2   341.3   386.9   425.4   478.8   576.4  1540.8  3805.8  7452.6  8123.4  85504.8    85707
read      326.6   236.2    80.4   126.2   140.9   273.6   352.8   405.8   446.8   495.4   561.6   679.0  1079.7  2699.1  5252.7  58384.4    58253
read      267.8   189.5    80.4   126.5   140.0   228.3   284.0   315.9   339.2   367.8   409.8   503.6   896.3  1931.5  7049.1 103852.6   103867
read      282.3   104.2    80.4   139.8   157.0   273.6   320.6   345.6   364.3   386.6   415.9   459.0   544.2   893.0  1462.5  21611.4    21604
read      463.2   712.1    80.4   138.0   155.8   283.2   348.5   390.8   427.7   487.7   631.1  1714.1  3900.4  7576.0  8134.8  90416.2    90401
read      297.5   229.8    74.4   130.1   144.5   249.3   313.8   351.1   381.3   425.7   492.0   603.2   940.3  2959.0  7778.1  84359.8    84467
read      275.5   204.5    74.4   129.2   143.0   234.6   290.7   321.7   344.6   372.0   410.3   489.4  1122.1  2478.3  4934.0  99346.6    99700
read      308.5   221.4    80.4   129.4   146.4   283.6   341.7   373.9   399.3   428.9   464.5   520.6   880.0  3184.2  6334.1  32122.6    32052
read      273.0   118.4    80.4   135.6   152.8   264.8   309.2   332.0   347.5   366.8   391.3   429.8   518.1  1366.5  3164.1  18275.2    18173
read      451.4   594.7    74.4   129.4   145.8   276.7   359.2   425.3   499.6   631.9   886.0  1520.8  2929.0  7108.9  9382.2  67618.0    67789
read      321.0   213.3    80.4   122.9   138.9   284.7   367.3   415.7   448.8   484.9   528.9   592.5   832.8  2595.7  5405.5  51747.2    51929
read      365.8   512.5    80.4   125.6   140.0   256.1   324.4   368.0   404.2   454.3   522.3   687.4  3150.1  5382.5  8037.6  83601.0    83850
read      273.5   132.5    80.4   136.2   153.4   261.9   306.4   329.1   345.1   365.4   391.1   431.1   542.8  1779.4  3485.4  18534.8    18614
read      295.1   152.3    74.4   126.6   143.3   281.6   339.8   370.7   392.9   418.6   450.2   496.4   629.0  1675.0  2714.8  29486.4    29315
read      473.7   705.0    74.4   143.1   164.1   300.6   368.7   417.1   459.0   513.9   603.9  1663.4  3896.6  7555.3  8128.5 108167.8   108090
read      283.1   120.3    74.4   129.1   145.6   273.5   325.5   352.9   372.1   395.9   426.6   469.6   562.0  1234.9  2387.3  26909.4    27024
read      340.3   254.9    74.4   121.7   137.8   295.7   386.2   438.0   471.0   508.0   555.8   640.4  1117.8  3198.6  7303.8  49992.0    49907
read      231.1    97.4    86.8   138.5   151.4   221.4   251.2   268.9   281.7   296.1   315.9   345.1   427.1   947.9  3107.3   9129.8     9150
read      303.5   183.6    80.4   123.4   139.7   284.2   348.2   382.7   407.6   435.4   468.9   519.1   700.6  2242.0  6260.2  34199.0    34328
read      327.9   225.5    74.4   120.9   137.1   293.3   380.0   428.9   460.0   494.1   535.0   593.4   832.2  2992.2  6802.4  52038.0    51881
read      255.6   105.2    86.8   135.8   152.0   246.7   285.9   306.0   319.7   336.9   358.0   391.7   481.6  1240.7  2727.7  14532.6    14569
read      418.3   705.6    80.4   127.1   141.9   263.3   329.8   372.2   410.4   461.2   537.2  1165.4  3780.6  7717.9 11303.3  81534.0    81517
read      273.7   184.6    80.4   120.9   133.6   237.0   304.6   341.8   371.6   410.8   460.4   530.8   685.0  2005.6  7038.7  79000.6    78694
read      309.2   234.6    74.4   128.3   142.2   244.4   312.6   358.0   401.5   465.5   549.6   693.3  1182.7  2461.4  5320.9  93583.2    93409
read      303.7   174.4    80.4   124.0   140.3   285.1   350.7   387.1   413.6   443.7   478.5   530.9   661.7  1937.8  4113.0  39237.0    39093
read      279.1   148.2    86.8   137.4   154.3   267.6   312.3   335.9   352.7   372.3   399.2   442.7   556.6  2341.5  4245.3  18667.2    18729
read      361.3   452.3    80.4   122.5   136.7   248.7   316.4   359.1   395.9   450.1   544.4  1055.5  2497.2  4682.5  7974.2  70732.8    70818
read      269.0   148.2    80.4   126.8   142.8   256.1   303.0   326.9   343.8   364.4   391.6   433.5   546.9  2103.4  4577.9  21892.8    21942
read      449.1   733.3    74.4   132.6   149.4   279.2   349.7   395.4   436.5   502.2   623.2  1336.0  4133.0  7798.4 10618.4  91707.0    91810
read      295.1   200.8    80.4   120.5   134.9   273.5   336.5   371.1   398.0   428.7   464.2   516.8   636.4  2591.7  6295.9  39595.4    39588
read      303.5   177.0    74.4   118.1   132.6   282.9   353.1   392.9   420.5   450.1   485.5   537.4   667.0  2214.0  3908.2  41001.2    40957
read      331.2   234.2    74.4   123.4   138.6   277.4   364.2   420.6   461.0   508.0   570.2   675.4  1087.6  2627.7  4741.3  62669.8    62645
read      244.3    96.1    86.8   130.2   145.3   235.1   271.8   291.5   305.6   321.2   342.9   375.2   483.7  1158.4  1947.3  15559.2    15539
read      472.0   745.6    80.4   142.4   162.6   300.4   363.8   404.1   442.1   499.8   604.6  1564.1  4195.5  7646.2  9783.6 107154.4   107672
read      288.5   137.4    80.4   124.4   139.9   275.1   330.7   361.4   384.5   412.7   446.5   494.9   607.9  1475.7  3026.7  32865.0    32954
read      336.0   251.4    74.4   122.9   138.7   289.4   378.5   431.9   468.3   508.8   559.5   638.6  1005.4  3367.5  5919.0  58866.4    58866
