Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778248679429
Timestamp end: 1778250479819

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      216.3   137.4    93.8   150.9   162.1   207.1   225.9   235.6   245.0   254.5   269.3   292.5   358.4  1380.2  7796.3   6823.6     6927
read      263.5   196.4    80.4   129.9   143.4   248.1   296.6   318.7   334.6   352.6   375.5   419.1   586.8  2471.9  8320.5  52759.0    52892
read      271.5   173.2    80.4   131.4   145.8   241.8   294.2   322.2   343.1   368.5   402.0   465.4   857.0  2188.2  3937.6  98654.8    98921
read      271.9   134.4    74.4   126.7   139.9   247.9   306.4   339.0   363.8   394.6   435.7   500.6   637.2  1278.3  2225.0  61114.2    61129
read      320.7   251.8    80.4   127.0   143.8   285.2   355.7   394.8   422.5   454.3   494.7   558.8  1049.9  3550.0  7634.1  40532.6    40613
read      300.0   258.7    80.4   125.1   139.3   260.4   323.8   362.6   392.1   428.6   475.1   549.7   873.9  3945.4  7502.1  53347.6    53226
read      331.2   378.6    80.4   125.4   142.9   285.0   355.3   393.3   420.3   450.8   489.1   550.5  1313.4  5709.2 11339.2  38590.8    38560
read      322.4   410.2    80.4   132.6   148.2   253.0   308.2   338.9   362.4   392.5   438.1   561.1  2606.7  5126.9  7923.7 103472.6   103465
read      256.5   124.3    80.4   130.8   144.9   236.2   286.3   313.1   332.5   355.3   385.2   433.3   574.9  1283.9  2892.8 104739.8   104758
read      251.6   125.5    80.4   128.3   141.3   230.4   282.3   310.0   329.3   351.7   380.6   426.5   552.7  1259.2  3902.7  94886.6    94759
read      316.6   245.6    80.4   128.8   146.1   283.1   348.3   385.9   412.3   442.7   480.6   541.8  1043.4  3366.7  7262.9  37875.2    37799
read      237.7   135.5    93.8   151.5   164.2   223.7   249.8   264.9   274.8   288.9   306.5   335.5   531.6  1668.1  7206.0   8366.4     8296
read      404.6   631.6    80.4   128.7   143.2   269.7   335.9   379.7   419.6   472.5   551.8   768.2  3596.6  7135.5  8848.2  69386.8    69443
read      261.3   239.8    86.8   147.3   163.2   238.1   271.3   289.2   302.2   318.0   339.9   377.9   720.7  3128.8  8578.1  12518.0    12517
read      347.6   333.8    80.4   126.6   144.4   294.3   376.2   419.7   449.5   484.3   530.2   610.1  1596.4  4298.1  7925.0  43516.0    43591
read      279.3   192.9    86.8   138.3   156.3   262.4   304.1   326.1   341.5   360.4   384.5   424.2   728.2  2757.8  7640.3  20549.2    20430
read      354.4   491.8    80.4   134.0   150.0   259.9   317.8   351.3   377.4   413.0   471.9   661.1  2928.4  5655.7  8061.3  93802.4    93758
read      236.5   110.2    93.8   148.3   162.8   226.1   252.6   267.4   277.5   291.3   308.9   337.4   454.2  1448.8  2264.3  10532.0    10485
read      259.3   146.9    86.8   139.0   155.9   245.8   283.2   302.5   316.3   333.2   354.9   391.6   612.5  1989.1  5361.5  16601.2    16518
read      317.9   459.7    80.4   127.6   141.0   238.5   294.7   323.3   343.9   368.9   402.6   479.6  2871.2  5272.9  8353.9  82953.8    83230
read      214.9   109.6    93.8   148.9   158.8   204.4   224.2   234.9   244.3   254.3   268.9   293.0   388.5  1274.5  4994.8   5532.4     5484
