Random waveform, supplied seed
Total number of intervals = 260 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485)
Average QPS expected = 57399
Timestamp start: 1778261326111
Timestamp end: 1778262626461

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      249.1    89.0    86.8   161.4   176.9   240.6   266.4   281.3   292.7   307.3   325.6   355.8   434.0  1139.7  3126.1   6886.4     6927
read      371.6   389.9    74.4   130.5   149.2   301.3   385.7   436.2   474.8   523.0   587.9   722.7  1779.8  5166.5  9875.7  52778.0    52892
read      348.5   491.1    74.4   133.6   151.2   272.4   332.5   367.8   395.4   432.2   490.5   615.6  2701.5  6838.9  8334.0  98629.2    98921
read      294.8   171.8    74.4   124.3   139.2   265.7   330.1   368.5   397.6   433.5   481.9   561.7   783.0  1544.4  4763.5  61016.0    61129
read      341.0   532.4    74.4   124.8   144.8   300.1   376.6   416.9   445.2   478.0   521.8   592.9  1189.5  4225.7  7679.4  40607.2    40613
read      359.5   325.4    74.4   127.5   146.6   301.5   389.2   439.5   476.1   520.5   578.3   683.4  1372.7  4738.1  7836.9  53131.2    53226
read      356.0   376.5    80.4   127.5   147.7   310.1   388.6   429.1   458.5   492.6   535.8   611.7  1295.4  6474.5  9910.7  38732.6    38560
read      343.3   438.9    80.4   131.5   148.3   262.9   321.5   357.3   384.9   422.1   483.5   648.2  2726.5  5344.4  8361.8 103538.2   103465
read      271.3   185.3    74.4   128.1   142.6   240.9   293.6   323.4   345.6   372.8   410.6   480.9   810.3  2142.7  7319.2 104774.6   104758
read      252.6   119.1    80.4   124.1   138.1   231.5   284.2   313.1   333.9   358.1   389.0   436.4   577.1  1189.5  2775.8  94942.4    94759
read      359.5   444.1    74.4   125.4   144.3   292.6   365.3   404.6   433.6   467.2   511.4   594.4  2324.7  6193.6  8121.9  37777.8    37799
read      277.1   181.5    93.8   157.5   175.5   257.4   292.6   313.6   329.2   346.8   372.0   419.6   669.3  2203.2  7785.1   8348.8     8296
read      386.5   576.7    74.4   125.6   141.2   275.0   343.7   386.8   421.8   468.0   539.8   721.3  3244.5  6875.2 10000.7  69254.4    69443
read      320.1   342.3    86.8   155.2   177.3   276.0   320.1   345.4   365.2   390.2   427.5   510.4  1290.1  5218.0 10227.5  12470.0    12517
read      380.9   411.9    74.4   130.1   150.4   311.8   394.5   440.5   473.8   515.1   576.3   704.6  1973.3  6281.5  8416.6  43477.4    43591
read      292.4   192.0    80.4   134.9   156.7   278.4   323.5   346.5   364.3   384.6   410.1   453.7   626.2  2657.7  7624.1  20504.2    20430
read      435.7   631.7    74.4   138.4   157.8   296.5   373.1   427.4   476.1   554.3   718.6  1359.2  2861.6  6434.3 21257.8  93916.2    93758
read      269.5   146.0    80.4   150.8   170.6   252.3   286.3   305.7   320.1   339.1   364.2   407.7   668.7  1676.8  7082.7  10499.8    10485
read      307.1   207.1    80.4   145.3   168.5   282.6   327.6   351.0   368.4   390.7   421.3   482.8  1077.3  2486.0  7435.9  16516.2    16518
read      393.9   565.1    80.4   129.6   146.1   271.5   335.6   374.0   407.3   459.0   562.0   963.8  3204.9  6987.7  8747.2  83167.0    83230
read      249.1   110.8    93.8   163.0   177.5   236.3   262.5   276.5   288.3   301.7   320.2   355.2   467.8  1338.4  4148.0   5530.8     5484
read      340.0   224.2    74.4   126.6   145.2   302.0   386.5   432.5   465.5   503.3   550.6   634.4  1019.7  2796.2  5870.3  55543.8    55611
read      297.7   167.1    86.8   140.5   163.2   283.1   330.9   355.3   372.2   393.1   419.4   461.6   665.2  2265.6  4957.4  20903.8    20774
read      375.3   487.2    74.4   132.7   150.2   274.9   338.8   378.0   411.5   460.7   550.2   814.9  2822.1  6238.1  8117.7  96515.2    96726
read      317.1   217.8    80.4   128.3   147.9   291.1   354.1   387.2   410.7   437.9   472.2   532.8   969.9  2815.1  6601.6  32369.2    32442
read      345.4   387.6    74.4   125.0   140.2   258.8   328.2   377.9   420.7   475.5   552.3   716.2  2307.6  4246.9  7970.4  73086.2    73039
read      299.9   208.4    74.4   123.6   138.1   253.1   320.8   366.1   402.8   452.3   517.2   618.2   928.2  2499.7  5244.6  73806.2    74055
read      303.5   223.6    80.4   126.3   141.8   273.2   337.6   374.3   402.6   436.6   482.1   554.3   806.8  2624.1  9513.5  51159.4    51197
