Random waveform, supplied seed
Total number of intervals = 270 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002)
Average QPS expected = 57479
Timestamp start: 1778401234108
Timestamp end: 1778402584485

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      220.2   148.2    93.8   148.9   160.0   207.5   227.4   238.7   248.1   258.8   272.8   297.0   436.4  2078.2  7272.2   6946.0     6927
read      271.5   154.0    80.4   120.6   134.4   247.1   302.0   341.1   370.1   402.2   443.4   502.1   633.8  1402.5  4559.1  52683.6    52892
read      263.8   241.3    74.4   120.5   134.4   230.0   282.1   310.6   333.6   362.2   399.6   463.0   713.1  3429.0  8550.2  98959.4    98921
read      241.6    95.0    80.4   119.8   132.9   231.1   281.5   303.3   319.1   339.2   364.5   400.4   474.5   626.9  1622.8  61093.2    61129
read      255.2   111.6    80.4   123.4   137.9   246.3   289.6   314.3   334.5   358.9   389.0   430.1   510.4   669.8  2610.9  40681.4    40613
read      260.4   122.3    74.4   119.0   132.3   241.0   293.6   328.1   355.3   386.7   423.5   473.0   575.1   801.2  2446.8  53265.8    53226
read      253.0   102.7    74.4   122.6   137.2   245.4   288.0   312.2   331.9   355.2   383.7   423.6   501.0   632.8  1997.7  38591.0    38560
read      255.9   167.4    74.4   120.5   134.5   228.2   278.9   306.7   328.9   356.5   393.6   453.1   689.6  2007.3  5563.1 103317.6   103465
read      249.8   131.9    74.4   120.7   134.8   228.2   278.5   305.6   327.0   353.7   388.7   441.1   569.7  1159.2  4494.8 104913.8   104758
read      245.2   110.8    74.4   119.4   132.9   225.8   277.0   303.6   324.4   350.0   384.2   432.8   540.4   895.8  2175.2  94902.6    94759
read      252.8   101.7    74.4   123.8   138.3   245.4   287.2   309.9   328.4   351.4   380.7   422.4   504.7   659.4  1706.9  37824.2    37799
read      212.5    88.6    86.8   141.6   153.4   204.5   225.6   238.1   248.1   259.2   272.5   294.4   372.0   839.8  3468.9   8337.8     8296
read      280.8   329.1    68.9   118.2   131.2   227.3   280.1   305.1   324.3   349.1   383.9   453.1  1969.7  3530.7  7922.6  69198.2    69443
read      235.6    88.9    93.8   144.1   159.4   225.4   255.2   270.7   282.1   295.1   317.9   353.4   430.5   978.6  3164.9  12562.0    12517
read      269.1   207.7    80.4   121.6   135.4   245.9   293.3   324.3   349.8   378.9   414.4   467.0   635.1  2527.1  8433.2  43547.4    43591
read      285.1   357.2    74.4   137.1   156.0   252.2   290.2   317.0   338.5   362.2   391.1   435.7   796.2  7452.5 10718.1  20330.2    20430
read      312.1   429.9    74.4   120.6   135.2   239.5   293.8   326.0   351.7   384.3   430.4   535.3  2688.2  5417.2  8036.2  93701.8    93758
read      242.9   281.5    86.8   144.9   159.0   214.7   238.4   252.3   262.6   273.6   290.6   324.2   901.4  4334.0  8719.7  10433.4    10485
read      242.9   166.2    86.8   140.6   157.0   227.8   257.5   272.6   284.7   298.0   322.8   362.1   469.7  2020.1  7359.7  16530.8    16518
read      317.6   452.8    68.9   119.5   133.8   237.3   292.6   323.9   348.8   380.2   424.4   529.7  2837.8  5289.3  8038.3  83183.6    83230
read      202.7    78.0    93.8   142.8   152.8   195.0   212.4   222.3   229.9   238.6   251.7   272.9   362.0  1013.3  3145.7   5444.8     5484
read      245.5   126.3    74.4   119.5   132.9   232.1   280.3   301.3   316.8   336.5   363.2   405.7   564.6  1294.3  3527.5  55632.0    55611
read      262.1   121.9    80.4   134.8   153.5   249.0   289.0   317.1   337.9   360.1   385.9   422.8   507.2   901.6  5281.6  20794.2    20774
read      315.3   415.6    74.4   122.0   137.1   244.6   300.2   335.0   361.9   394.9   443.1   561.9  2618.9  5286.9  7960.5  96809.4    96726
read      249.8    95.7    74.4   127.3   142.3   244.8   281.8   300.9   317.4   338.2   364.3   401.0   481.0   683.6  1803.2  32370.2    32442
read      251.6   167.9    74.4   117.2   130.1   225.4   279.7   306.5   327.6   354.1   389.2   448.7   616.8  2424.8  4944.7  73048.0    73039
read      237.8   116.0    74.4   115.5   128.3   220.2   273.4   297.2   316.0   338.9   367.9   409.4   503.9   774.2  3190.8  74071.4    74055
read      239.3   101.6    68.9   120.7   134.2   233.1   278.3   296.9   311.1   327.6   349.9   383.7   452.4   600.7  3313.8  51269.2    51197
read      239.8   106.9    80.4   118.8   131.8   228.7   278.7   299.8   315.6   335.2   360.4   397.4   474.8   651.6  3019.8  59547.6    59442
read      251.9    98.3    80.4   126.7   140.8   243.5   283.6   305.7   324.5   347.7   376.1   417.5   498.4   672.1  2143.3  35629.2    35654
read      243.6   156.7    74.4   116.2   128.9   219.0   273.0   298.7   318.8   344.1   377.0   429.2   603.1  1510.2  6064.7  78725.8    78747
read      250.9   103.9    74.4   122.3   135.9   240.4   283.6   307.6   327.9   353.4   384.9   427.6   509.6   703.2  2608.2  42220.2    42212
read      264.3   203.5    74.4   118.1   130.7   240.2   290.7   322.6   350.3   381.2   418.2   469.4   589.5  3236.0  7644.1  52634.0    52488
read      250.4   105.3    74.4   124.2   138.3   240.6   281.6   303.7   322.9   347.9   377.2   418.9   501.5   882.0  2742.2  36844.2    36950
read      242.1   107.0    80.4   135.4   152.5   232.3   266.5   284.4   297.5   317.8   342.0   373.8   453.3   822.2  2001.4  16818.8    16762
read      275.7   338.8    74.4   116.9   129.9   224.3   278.6   305.4   325.9   352.0   386.8   442.0  1825.8  4383.0  7836.1  79350.8    79473
read      245.3   157.2    74.4   118.8   131.6   227.7   278.6   300.6   317.5   338.3   365.0   403.5   516.1  2174.8  4841.6  61564.6    61431
read      246.1   156.6    74.4   118.1   130.9   221.6   274.0   300.1   321.2   348.7   382.8   432.9   572.0  1785.8  5438.1  86960.4    87172
read      260.9   139.0    74.4   124.3   139.2   235.8   286.3   316.1   340.6   370.1   408.2   468.3   635.2  1494.1  3404.1 108041.8   108181
read      239.6   101.7    74.4   117.4   130.1   221.0   273.4   298.3   318.7   344.4   375.8   421.5   518.9   734.6  1280.7  80600.8    80515
read      249.6    92.8    74.4   128.0   141.9   243.5   282.1   301.9   318.5   340.6   368.1   405.6   482.7   641.9  1756.2  37285.2    37149
read      231.4    77.3    80.4   143.8   159.8   226.3   253.1   266.7   275.3   287.8   303.1   332.1   394.5   567.0  2344.3  13431.0    13444
read      279.9   284.2    74.4   119.5   132.9   230.9   284.3   311.9   334.4   362.4   398.0   468.4  1671.7  3355.9  7683.5  72022.6    72057
read      241.5   105.6    74.4   118.5   131.4   226.2   278.8   302.9   321.1   345.2   373.0   412.9   495.6   667.1  2575.3  69814.6    70041
read      243.5   115.0    74.4   118.8   131.8   223.3   275.1   301.6   322.3   348.1   381.1   429.0   536.7   909.9  2671.6  90154.0    90162
read      243.9    89.7    74.4   122.9   136.4   238.3   283.9   304.1   318.7   338.0   361.5   394.6   462.4   586.7  1357.9  52209.6    52082
read      240.1    78.9    74.4   133.2   149.4   237.7   268.2   283.4   293.8   308.9   329.9   363.2   427.1   582.1  1613.5  24336.4    24258
